"fecha","Passengers"
1970-01-01,7.3187
1971-01-01,7.3266
1972-01-01,7.7956
1973-01-01,9.3846
1974-01-01,10.6647
1975-01-01,11.0551
1976-01-01,10.8643
1977-01-01,11.3065
1978-01-01,12.1223
1979-01-01,13.0225
1980-01-01,13.6488
1981-01-01,13.2195
1982-01-01,13.1879
1983-01-01,12.6015
1984-01-01,13.2368
1985-01-01,14.4121
1986-01-01,15.4973
1987-01-01,16.8802
1988-01-01,18.8163
1989-01-01,15.1143
1990-01-01,17.5534
1991-01-01,21.8601
1992-01-01,23.8866
1993-01-01,26.9293
1994-01-01,26.8885
1995-01-01,28.8314
1996-01-01,30.0751
1997-01-01,30.9535
1998-01-01,30.1857
1999-01-01,31.5797
2000-01-01,32.577569
2001-01-01,33.477398
2002-01-01,39.021581
2003-01-01,41.386432
2004-01-01,41.596552
2005-01-01,44.657324
2006-01-01,46.951775
2007-01-01,48.728837
2008-01-01,51.488427
2009-01-01,50.026967
2010-01-01,60.640913
2011-01-01,63.3603103378
2012-01-01,66.355274
2013-01-01,68.197955
2014-01-01,68.1232376693
2015-01-01,69.7793454797
2016-01-01,72.597700806
