"fecha","State","Births"
1975-01-01,"ACT",320
1975-02-01,"ACT",333
1975-03-01,"ACT",342
1975-04-01,"ACT",348
1975-05-01,"ACT",336
1975-06-01,"ACT",374
1975-07-01,"ACT",372
1975-08-01,"ACT",354
1975-09-01,"ACT",361
1975-10-01,"ACT",337
1975-11-01,"ACT",344
1975-12-01,"ACT",366
1976-01-01,"ACT",319
1976-02-01,"ACT",321
1976-03-01,"ACT",371
1976-04-01,"ACT",381
1976-05-01,"ACT",335
1976-06-01,"ACT",348
1976-07-01,"ACT",388
1976-08-01,"ACT",396
1976-09-01,"ACT",331
1976-10-01,"ACT",375
1976-11-01,"ACT",340
1976-12-01,"ACT",375
1977-01-01,"ACT",383
1977-02-01,"ACT",344
1977-03-01,"ACT",373
1977-04-01,"ACT",379
1977-05-01,"ACT",381
1977-06-01,"ACT",350
1977-07-01,"ACT",369
1977-08-01,"ACT",387
1977-09-01,"ACT",356
1977-10-01,"ACT",386
1977-11-01,"ACT",357
1977-12-01,"ACT",368
1978-01-01,"ACT",345
1978-02-01,"ACT",336
1978-03-01,"ACT",377
1978-04-01,"ACT",325
1978-05-01,"ACT",365
1978-06-01,"ACT",328
1978-07-01,"ACT",351
1978-08-01,"ACT",370
1978-09-01,"ACT",330
1978-10-01,"ACT",368
1978-11-01,"ACT",331
1978-12-01,"ACT",364
1979-01-01,"ACT",362
1979-02-01,"ACT",324
1979-03-01,"ACT",392
1979-04-01,"ACT",351
1979-05-01,"ACT",379
1979-06-01,"ACT",329
1979-07-01,"ACT",359
1979-08-01,"ACT",357
1979-09-01,"ACT",334
1979-10-01,"ACT",356
1979-11-01,"ACT",363
1979-12-01,"ACT",362
1980-01-01,"ACT",368
1980-02-01,"ACT",328
1980-03-01,"ACT",328
1980-04-01,"ACT",356
1980-05-01,"ACT",347
1980-06-01,"ACT",328
1980-07-01,"ACT",394
1980-08-01,"ACT",347
1980-09-01,"ACT",379
1980-10-01,"ACT",339
1980-11-01,"ACT",331
1980-12-01,"ACT",320
1981-01-01,"ACT",329
1981-02-01,"ACT",314
1981-03-01,"ACT",359
1981-04-01,"ACT",385
1981-05-01,"ACT",353
1981-06-01,"ACT",354
1981-07-01,"ACT",309
1981-08-01,"ACT",355
1981-09-01,"ACT",380
1981-10-01,"ACT",358
1981-11-01,"ACT",313
1981-12-01,"ACT",343
1982-01-01,"ACT",345
1982-02-01,"ACT",336
1982-03-01,"ACT",358
1982-04-01,"ACT",355
1982-05-01,"ACT",322
1982-06-01,"ACT",307
1982-07-01,"ACT",361
1982-08-01,"ACT",364
1982-09-01,"ACT",339
1982-10-01,"ACT",369
1982-11-01,"ACT",312
1982-12-01,"ACT",388
1983-01-01,"ACT",319
1983-02-01,"ACT",306
1983-03-01,"ACT",351
1983-04-01,"ACT",331
1983-05-01,"ACT",358
1983-06-01,"ACT",299
1983-07-01,"ACT",340
1983-08-01,"ACT",356
1983-09-01,"ACT",390
1983-10-01,"ACT",363
1983-11-01,"ACT",339
1983-12-01,"ACT",329
1984-01-01,"ACT",335
1984-02-01,"ACT",329
1984-03-01,"ACT",363
1984-04-01,"ACT",345
1984-05-01,"ACT",351
1984-06-01,"ACT",351
1984-07-01,"ACT",334
1984-08-01,"ACT",362
1984-09-01,"ACT",354
1984-10-01,"ACT",379
1984-11-01,"ACT",336
1984-12-01,"ACT",308
1985-01-01,"ACT",359
1985-02-01,"ACT",288
1985-03-01,"ACT",348
1985-04-01,"ACT",322
1985-05-01,"ACT",336
1985-06-01,"ACT",314
1985-07-01,"ACT",351
1985-08-01,"ACT",341
1985-09-01,"ACT",370
1985-10-01,"ACT",375
1985-11-01,"ACT",355
1985-12-01,"ACT",324
1986-01-01,"ACT",320
1986-02-01,"ACT",342
1986-03-01,"ACT",374
1986-04-01,"ACT",366
1986-05-01,"ACT",300
1986-06-01,"ACT",296
1986-07-01,"ACT",319
1986-08-01,"ACT",358
1986-09-01,"ACT",347
1986-10-01,"ACT",390
1986-11-01,"ACT",332
1986-12-01,"ACT",376
1987-01-01,"ACT",332
1987-02-01,"ACT",320
1987-03-01,"ACT",361
1987-04-01,"ACT",326
1987-05-01,"ACT",322
1987-06-01,"ACT",335
1987-07-01,"ACT",350
1987-08-01,"ACT",355
1987-09-01,"ACT",374
1987-10-01,"ACT",373
1987-11-01,"ACT",356
1987-12-01,"ACT",325
1988-01-01,"ACT",389
1988-02-01,"ACT",347
1988-03-01,"ACT",339
1988-04-01,"ACT",336
1988-05-01,"ACT",335
1988-06-01,"ACT",365
1988-07-01,"ACT",350
1988-08-01,"ACT",356
1988-09-01,"ACT",413
1988-10-01,"ACT",401
1988-11-01,"ACT",384
1988-12-01,"ACT",363
1989-01-01,"ACT",358
1989-02-01,"ACT",320
1989-03-01,"ACT",345
1989-04-01,"ACT",291
1989-05-01,"ACT",339
1989-06-01,"ACT",352
1989-07-01,"ACT",381
1989-08-01,"ACT",373
1989-09-01,"ACT",410
1989-10-01,"ACT",402
1989-11-01,"ACT",385
1989-12-01,"ACT",358
1990-01-01,"ACT",373
1990-02-01,"ACT",336
1990-03-01,"ACT",378
1990-04-01,"ACT",352
1990-05-01,"ACT",359
1990-06-01,"ACT",378
1990-07-01,"ACT",390
1990-08-01,"ACT",367
1990-09-01,"ACT",410
1990-10-01,"ACT",437
1990-11-01,"ACT",379
1990-12-01,"ACT",369
1991-01-01,"ACT",403
1991-02-01,"ACT",341
1991-03-01,"ACT",386
1991-04-01,"ACT",391
1991-05-01,"ACT",389
1991-06-01,"ACT",348
1991-07-01,"ACT",356
1991-08-01,"ACT",357
1991-09-01,"ACT",398
1991-10-01,"ACT",480
1991-11-01,"ACT",390
1991-12-01,"ACT",381
1992-01-01,"ACT",397
1992-02-01,"ACT",348
1992-03-01,"ACT",351
1992-04-01,"ACT",347
1992-05-01,"ACT",355
1992-06-01,"ACT",362
1992-07-01,"ACT",383
1992-08-01,"ACT",394
1992-09-01,"ACT",388
1992-10-01,"ACT",371
1992-11-01,"ACT",379
1992-12-01,"ACT",365
1993-01-01,"ACT",385
1993-02-01,"ACT",328
1993-03-01,"ACT",393
1993-04-01,"ACT",375
1993-05-01,"ACT",402
1993-06-01,"ACT",348
1993-07-01,"ACT",362
1993-08-01,"ACT",325
1993-09-01,"ACT",388
1993-10-01,"ACT",372
1993-11-01,"ACT",342
1993-12-01,"ACT",414
1994-01-01,"ACT",381
1994-02-01,"ACT",358
1994-03-01,"ACT",404
1994-04-01,"ACT",371
1994-05-01,"ACT",386
1994-06-01,"ACT",350
1994-07-01,"ACT",355
1994-08-01,"ACT",391
1994-09-01,"ACT",419
1994-10-01,"ACT",376
1994-11-01,"ACT",366
1994-12-01,"ACT",347
1995-01-01,"ACT",378
1995-02-01,"ACT",335
1995-03-01,"ACT",393
1995-04-01,"ACT",367
1995-05-01,"ACT",380
1995-06-01,"ACT",390
1995-07-01,"ACT",366
1995-08-01,"ACT",364
1995-09-01,"ACT",353
1995-10-01,"ACT",382
1995-11-01,"ACT",368
1995-12-01,"ACT",364
1996-01-01,"ACT",361
1996-02-01,"ACT",336
1996-03-01,"ACT",349
1996-04-01,"ACT",353
1996-05-01,"ACT",364
1996-06-01,"ACT",340
1996-07-01,"ACT",390
1996-08-01,"ACT",371
1996-09-01,"ACT",369
1996-10-01,"ACT",368
1996-11-01,"ACT",366
1996-12-01,"ACT",364
1997-01-01,"ACT",366
1997-02-01,"ACT",299
1997-03-01,"ACT",344
1997-04-01,"ACT",368
1997-05-01,"ACT",375
1997-06-01,"ACT",327
1997-07-01,"ACT",370
1997-08-01,"ACT",336
1997-09-01,"ACT",334
1997-10-01,"ACT",386
1997-11-01,"ACT",316
1997-12-01,"ACT",339
1998-01-01,"ACT",352
1998-02-01,"ACT",323
1998-03-01,"ACT",380
1998-04-01,"ACT",339
1998-05-01,"ACT",330
1998-06-01,"ACT",335
1998-07-01,"ACT",362
1998-08-01,"ACT",330
1998-09-01,"ACT",355
1998-10-01,"ACT",345
1998-11-01,"ACT",396
1998-12-01,"ACT",334
1999-01-01,"ACT",352
1999-02-01,"ACT",321
1999-03-01,"ACT",374
1999-04-01,"ACT",356
1999-05-01,"ACT",347
1999-06-01,"ACT",346
1999-07-01,"ACT",321
1999-08-01,"ACT",383
1999-09-01,"ACT",375
1999-10-01,"ACT",357
1999-11-01,"ACT",315
1999-12-01,"ACT",296
2000-01-01,"ACT",332
2000-02-01,"ACT",327
2000-03-01,"ACT",335
2000-04-01,"ACT",359
2000-05-01,"ACT",394
2000-06-01,"ACT",354
2000-07-01,"ACT",342
2000-08-01,"ACT",353
2000-09-01,"ACT",347
2000-10-01,"ACT",396
2000-11-01,"ACT",374
2000-12-01,"ACT",304
2001-01-01,"ACT",379
2001-02-01,"ACT",307
2001-03-01,"ACT",311
2001-04-01,"ACT",303
2001-05-01,"ACT",317
2001-06-01,"ACT",311
2001-07-01,"ACT",328
2001-08-01,"ACT",369
2001-09-01,"ACT",321
2001-10-01,"ACT",329
2001-11-01,"ACT",291
2001-12-01,"ACT",326
2002-01-01,"ACT",349
2002-02-01,"ACT",317
2002-03-01,"ACT",346
2002-04-01,"ACT",335
2002-05-01,"ACT",357
2002-06-01,"ACT",338
2002-07-01,"ACT",336
2002-08-01,"ACT",360
2002-09-01,"ACT",361
2002-10-01,"ACT",369
2002-11-01,"ACT",314
2002-12-01,"ACT",322
2003-01-01,"ACT",328
2003-02-01,"ACT",317
2003-03-01,"ACT",362
2003-04-01,"ACT",311
2003-05-01,"ACT",320
2003-06-01,"ACT",353
2003-07-01,"ACT",361
2003-08-01,"ACT",316
2003-09-01,"ACT",395
2003-10-01,"ACT",384
2003-11-01,"ACT",357
2003-12-01,"ACT",348
2004-01-01,"ACT",384
2004-02-01,"ACT",290
2004-03-01,"ACT",361
2004-04-01,"ACT",339
2004-05-01,"ACT",306
2004-06-01,"ACT",331
2004-07-01,"ACT",361
2004-08-01,"ACT",374
2004-09-01,"ACT",377
2004-10-01,"ACT",373
2004-11-01,"ACT",333
2004-12-01,"ACT",329
2005-01-01,"ACT",361
2005-02-01,"ACT",344
2005-03-01,"ACT",365
2005-04-01,"ACT",356
2005-05-01,"ACT",348
2005-06-01,"ACT",312
2005-07-01,"ACT",362
2005-08-01,"ACT",363
2005-09-01,"ACT",355
2005-10-01,"ACT",384
2005-11-01,"ACT",360
2005-12-01,"ACT",366
2006-01-01,"ACT",391
2006-02-01,"ACT",365
2006-03-01,"ACT",418
2006-04-01,"ACT",374
2006-05-01,"ACT",361
2006-06-01,"ACT",361
2006-07-01,"ACT",403
2006-08-01,"ACT",400
2006-09-01,"ACT",405
2006-10-01,"ACT",405
2006-11-01,"ACT",344
2006-12-01,"ACT",357
2007-01-01,"ACT",401
2007-02-01,"ACT",339
2007-03-01,"ACT",401
2007-04-01,"ACT",373
2007-05-01,"ACT",387
2007-06-01,"ACT",394
2007-07-01,"ACT",386
2007-08-01,"ACT",405
2007-09-01,"ACT",397
2007-10-01,"ACT",377
2007-11-01,"ACT",396
2007-12-01,"ACT",379
2008-01-01,"ACT",374
2008-02-01,"ACT",339
2008-03-01,"ACT",402
2008-04-01,"ACT",382
2008-05-01,"ACT",395
2008-06-01,"ACT",366
2008-07-01,"ACT",427
2008-08-01,"ACT",408
2008-09-01,"ACT",435
2008-10-01,"ACT",431
2008-11-01,"ACT",366
2008-12-01,"ACT",421
2009-01-01,"ACT",385
2009-02-01,"ACT",366
2009-03-01,"ACT",381
2009-04-01,"ACT",399
2009-05-01,"ACT",400
2009-06-01,"ACT",425
2009-07-01,"ACT",447
2009-08-01,"ACT",420
2009-09-01,"ACT",464
2009-10-01,"ACT",434
2009-11-01,"ACT",399
2009-12-01,"ACT",432
2010-01-01,"ACT",419
2010-02-01,"ACT",444
2010-03-01,"ACT",436
2010-04-01,"ACT",413
2010-05-01,"ACT",436
2010-06-01,"ACT",452
2010-07-01,"ACT",452
2010-08-01,"ACT",441
2010-09-01,"ACT",393
2010-10-01,"ACT",429
2010-11-01,"ACT",349
2010-12-01,"ACT",409
2011-01-01,"ACT",476
2011-02-01,"ACT",430
2011-03-01,"ACT",443
2011-04-01,"ACT",417
2011-05-01,"ACT",435
2011-06-01,"ACT",426
2011-07-01,"ACT",423
2011-08-01,"ACT",416
2011-09-01,"ACT",476
2011-10-01,"ACT",454
2011-11-01,"ACT",418
2011-12-01,"ACT",444
2012-01-01,"ACT",460
2012-02-01,"ACT",434
2012-03-01,"ACT",483
2012-04-01,"ACT",411
2012-05-01,"ACT",427
2012-06-01,"ACT",438
2012-07-01,"ACT",488
2012-08-01,"ACT",469
2012-09-01,"ACT",465
2012-10-01,"ACT",491
2012-11-01,"ACT",435
2012-12-01,"ACT",462
2013-01-01,"ACT",450
2013-02-01,"ACT",417
2013-03-01,"ACT",477
2013-04-01,"ACT",450
2013-05-01,"ACT",449
2013-06-01,"ACT",471
2013-07-01,"ACT",471
2013-08-01,"ACT",475
2013-09-01,"ACT",454
2013-10-01,"ACT",497
2013-11-01,"ACT",488
2013-12-01,"ACT",453
2014-01-01,"ACT",475
2014-02-01,"ACT",443
2014-03-01,"ACT",486
2014-04-01,"ACT",443
2014-05-01,"ACT",487
2014-06-01,"ACT",438
2014-07-01,"ACT",500
2014-08-01,"ACT",479
2014-09-01,"ACT",483
2014-10-01,"ACT",478
2014-11-01,"ACT",452
2014-12-01,"ACT",490
2015-01-01,"ACT",472
2015-02-01,"ACT",433
2015-03-01,"ACT",483
2015-04-01,"ACT",437
2015-05-01,"ACT",487
2015-06-01,"ACT",492
2015-07-01,"ACT",484
2015-08-01,"ACT",468
2015-09-01,"ACT",471
2015-10-01,"ACT",469
2015-11-01,"ACT",453
2015-12-01,"ACT",492
2016-01-01,"ACT",479
2016-02-01,"ACT",463
2016-03-01,"ACT",514
2016-04-01,"ACT",482
2016-05-01,"ACT",476
2016-06-01,"ACT",495
2016-07-01,"ACT",522
2016-08-01,"ACT",470
2016-09-01,"ACT",488
2016-10-01,"ACT",490
2016-11-01,"ACT",447
2016-12-01,"ACT",455
2017-01-01,"ACT",504
2017-02-01,"ACT",425
2017-03-01,"ACT",476
2017-04-01,"ACT",430
2017-05-01,"ACT",467
2017-06-01,"ACT",456
2017-07-01,"ACT",455
2017-08-01,"ACT",464
2017-09-01,"ACT",476
2017-10-01,"ACT",472
2017-11-01,"ACT",437
2017-12-01,"ACT",395
2018-01-01,"ACT",448
2018-02-01,"ACT",438
2018-03-01,"ACT",439
2018-04-01,"ACT",405
2018-05-01,"ACT",451
2018-06-01,"ACT",454
2018-07-01,"ACT",426
2018-08-01,"ACT",459
2018-09-01,"ACT",435
2018-10-01,"ACT",430
2018-11-01,"ACT",420
2018-12-01,"ACT",451
2019-01-01,"ACT",440
2019-02-01,"ACT",414
2019-03-01,"ACT",491
2019-04-01,"ACT",456
2019-05-01,"ACT",456
2019-06-01,"ACT",419
2019-07-01,"ACT",460
2019-08-01,"ACT",494
2019-09-01,"ACT",484
2019-10-01,"ACT",484
2019-11-01,"ACT",423
2019-12-01,"ACT",437
2020-01-01,"ACT",459
2020-02-01,"ACT",412
2020-03-01,"ACT",465
2020-04-01,"ACT",427
2020-05-01,"ACT",441
2020-06-01,"ACT",432
2020-07-01,"ACT",466
2020-08-01,"ACT",448
2020-09-01,"ACT",424
2020-10-01,"ACT",459
2020-11-01,"ACT",421
2020-12-01,"ACT",430
2021-01-01,"ACT",472
2021-02-01,"ACT",446
2021-03-01,"ACT",512
2021-04-01,"ACT",435
2021-05-01,"ACT",441
2021-06-01,"ACT",451
2021-07-01,"ACT",452
2021-08-01,"ACT",468
2021-09-01,"ACT",474
2021-10-01,"ACT",427
2021-11-01,"ACT",466
2021-12-01,"ACT",476
1975-01-01,"NSW",6962
1975-02-01,"NSW",6412
1975-03-01,"NSW",6945
1975-04-01,"NSW",6647
1975-05-01,"NSW",7377
1975-06-01,"NSW",6654
1975-07-01,"NSW",7047
1975-08-01,"NSW",6679
1975-09-01,"NSW",6687
1975-10-01,"NSW",6709
1975-11-01,"NSW",6270
1975-12-01,"NSW",6496
1976-01-01,"NSW",6704
1976-02-01,"NSW",6599
1976-03-01,"NSW",7175
1976-04-01,"NSW",6680
1976-05-01,"NSW",6576
1976-06-01,"NSW",6489
1976-07-01,"NSW",6573
1976-08-01,"NSW",6319
1976-09-01,"NSW",6530
1976-10-01,"NSW",6484
1976-11-01,"NSW",6217
1976-12-01,"NSW",6464
1977-01-01,"NSW",6590
1977-02-01,"NSW",6357
1977-03-01,"NSW",7035
1977-04-01,"NSW",6408
1977-05-01,"NSW",6794
1977-06-01,"NSW",6712
1977-07-01,"NSW",6719
1977-08-01,"NSW",6629
1977-09-01,"NSW",6643
1977-10-01,"NSW",6572
1977-11-01,"NSW",6051
1977-12-01,"NSW",6085
1978-01-01,"NSW",6556
1978-02-01,"NSW",6376
1978-03-01,"NSW",7095
1978-04-01,"NSW",6513
1978-05-01,"NSW",6686
1978-06-01,"NSW",6493
1978-07-01,"NSW",6438
1978-08-01,"NSW",6716
1978-09-01,"NSW",6570
1978-10-01,"NSW",6379
1978-11-01,"NSW",6225
1978-12-01,"NSW",6329
1979-01-01,"NSW",6588
1979-02-01,"NSW",6277
1979-03-01,"NSW",6953
1979-04-01,"NSW",6628
1979-05-01,"NSW",6862
1979-06-01,"NSW",6345
1979-07-01,"NSW",6818
1979-08-01,"NSW",6547
1979-09-01,"NSW",6392
1979-10-01,"NSW",6337
1979-11-01,"NSW",6147
1979-12-01,"NSW",6060
1980-01-01,"NSW",6787
1980-02-01,"NSW",6267
1980-03-01,"NSW",6967
1980-04-01,"NSW",6609
1980-05-01,"NSW",6907
1980-06-01,"NSW",6962
1980-07-01,"NSW",6717
1980-08-01,"NSW",6415
1980-09-01,"NSW",6708
1980-10-01,"NSW",6752
1980-11-01,"NSW",6043
1980-12-01,"NSW",6435
1981-01-01,"NSW",6824
1981-02-01,"NSW",6548
1981-03-01,"NSW",7522
1981-04-01,"NSW",7169
1981-05-01,"NSW",7255
1981-06-01,"NSW",6981
1981-07-01,"NSW",7123
1981-08-01,"NSW",6998
1981-09-01,"NSW",7080
1981-10-01,"NSW",6888
1981-11-01,"NSW",6228
1981-12-01,"NSW",6617
1982-01-01,"NSW",6809
1982-02-01,"NSW",6437
1982-03-01,"NSW",7563
1982-04-01,"NSW",6936
1982-05-01,"NSW",6904
1982-06-01,"NSW",6840
1982-07-01,"NSW",7189
1982-08-01,"NSW",7231
1982-09-01,"NSW",7156
1982-10-01,"NSW",6928
1982-11-01,"NSW",6532
1982-12-01,"NSW",6765
1983-01-01,"NSW",6852
1983-02-01,"NSW",6801
1983-03-01,"NSW",7741
1983-04-01,"NSW",7082
1983-05-01,"NSW",7236
