"fecha","Region","Age","Rate"
1975-01-01,"Australia","15",7
1976-01-01,"Australia","15",6.6
1977-01-01,"Australia","15",5.7
1978-01-01,"Australia","15",5.5
1979-01-01,"Australia","15",5.1
1980-01-01,"Australia","15",4.8
1981-01-01,"Australia","15",4.8
1982-01-01,"Australia","15",4.7
1983-01-01,"Australia","15",4.9
1984-01-01,"Australia","15",3.8
1985-01-01,"Australia","15",3.9
1986-01-01,"Australia","15",3.7
1987-01-01,"Australia","15",3.6
1988-01-01,"Australia","15",3.2
1989-01-01,"Australia","15",3.8
1990-01-01,"Australia","15",3.7
1991-01-01,"Australia","15",3.6
1992-01-01,"Australia","15",3.3
1993-01-01,"Australia","15",3.5
1994-01-01,"Australia","15",4.1
1995-01-01,"Australia","15",3.6
1996-01-01,"Australia","15",3.8
1997-01-01,"Australia","15",3.5
1998-01-01,"Australia","15",3.3
1999-01-01,"Australia","15",3.3
2000-01-01,"Australia","15",2.9
2001-01-01,"Australia","15",3.2
2002-01-01,"Australia","15",2.9
2003-01-01,"Australia","15",2.9
2004-01-01,"Australia","15",2.7
2005-01-01,"Australia","15",2.9
2006-01-01,"Australia","15",2.6
2007-01-01,"Australia","15",3.3
2008-01-01,"Australia","15",3.4
2009-01-01,"Australia","15",3.7
2010-01-01,"Australia","15",3.1
2011-01-01,"Australia","15",2.9
2012-01-01,"Australia","15",2.9
2013-01-01,"Australia","15",2.7
2014-01-01,"Australia","15",2.4
2015-01-01,"Australia","15",2.2
2016-01-01,"Australia","15",1.8
2017-01-01,"Australia","15",1.7
2018-01-01,"Australia","15",1.5
2019-01-01,"Australia","15",1.3
2020-01-01,"Australia","15",1.3
2021-01-01,"Australia","15",1.3
2022-01-01,"Australia","15",1.1
1975-01-01,"Australian Capital Territory","15",2.9
1976-01-01,"Australian Capital Territory","15",4.9
1977-01-01,"Australian Capital Territory","15",3.1
1978-01-01,"Australian Capital Territory","15",2.1
1979-01-01,"Australian Capital Territory","15",0.5
1980-01-01,"Australian Capital Territory","15",3.2
1981-01-01,"Australian Capital Territory","15",1.1
1982-01-01,"Australian Capital Territory","15",2
1983-01-01,"Australian Capital Territory","15",0.5
1984-01-01,"Australian Capital Territory","15",2.4
1985-01-01,"Australian Capital Territory","15",2.6
1986-01-01,"Australian Capital Territory","15",1.2
1987-01-01,"Australian Capital Territory","15",0.4
1988-01-01,"Australian Capital Territory","15",1.6
1989-01-01,"Australian Capital Territory","15",1.7
1990-01-01,"Australian Capital Territory","15",0.4
1991-01-01,"Australian Capital Territory","15",1.3
1992-01-01,"Australian Capital Territory","15",2.2
1993-01-01,"Australian Capital Territory","15",2.6
1994-01-01,"Australian Capital Territory","15",2.7
1995-01-01,"Australian Capital Territory","15",0.9
1996-01-01,"Australian Capital Territory","15",3.2
1997-01-01,"Australian Capital Territory","15",3.1
1998-01-01,"Australian Capital Territory","15",1.8
1999-01-01,"Australian Capital Territory","15",0.5
2000-01-01,"Australian Capital Territory","15",1.3
2001-01-01,"Australian Capital Territory","15",0.5
2002-01-01,"Australian Capital Territory","15",1.4
2003-01-01,"Australian Capital Territory","15",1.8
2004-01-01,"Australian Capital Territory","15",1.3
2005-01-01,"Australian Capital Territory","15",0.4
2006-01-01,"Australian Capital Territory","15",1.8
2007-01-01,"Australian Capital Territory","15",0.4
2008-01-01,"Australian Capital Territory","15",0.9
2009-01-01,"Australian Capital Territory","15",1.8
2010-01-01,"Australian Capital Territory","15",1.4
2011-01-01,"Australian Capital Territory","15",0.9
2012-01-01,"Australian Capital Territory","15",2.3
2013-01-01,"Australian Capital Territory","15",1.4
2014-01-01,"Australian Capital Territory","15",2.3
2015-01-01,"Australian Capital Territory","15",0
2016-01-01,"Australian Capital Territory","15",0.5
2017-01-01,"Australian Capital Territory","15",0.5
2018-01-01,"Australian Capital Territory","15",1.3
2019-01-01,"Australian Capital Territory","15",1.9
