"fecha","Country","Purpose","Count"
2005-01-01,"Canada","Business",924
2005-02-01,"Canada","Business",1036
2005-03-01,"Canada","Business",1301
2005-04-01,"Canada","Business",1293
2005-05-01,"Canada","Business",1115
2005-06-01,"Canada","Business",813
2005-07-01,"Canada","Business",881
2005-08-01,"Canada","Business",1446
2005-09-01,"Canada","Business",1236
2005-10-01,"Canada","Business",1244
2005-11-01,"Canada","Business",1408
2005-12-01,"Canada","Business",755
2006-01-01,"Canada","Business",865
2006-02-01,"Canada","Business",1198
2006-03-01,"Canada","Business",1400
2006-04-01,"Canada","Business",784
2006-05-01,"Canada","Business",1279
2006-06-01,"Canada","Business",1023
2006-07-01,"Canada","Business",1372
2006-08-01,"Canada","Business",1151
2006-09-01,"Canada","Business",1132
2006-10-01,"Canada","Business",1650
2006-11-01,"Canada","Business",1374
2006-12-01,"Canada","Business",623
2007-01-01,"Canada","Business",1302
2007-02-01,"Canada","Business",1260
2007-03-01,"Canada","Business",1746
2007-04-01,"Canada","Business",1444
2007-05-01,"Canada","Business",1416
2007-06-01,"Canada","Business",1264
2007-07-01,"Canada","Business",1630
2007-08-01,"Canada","Business",1290
2007-09-01,"Canada","Business",1576
2007-10-01,"Canada","Business",1674
2007-11-01,"Canada","Business",1844
2007-12-01,"Canada","Business",943
2008-01-01,"Canada","Business",1142
2008-02-01,"Canada","Business",1860
2008-03-01,"Canada","Business",1770
2008-04-01,"Canada","Business",1606
2008-05-01,"Canada","Business",1424
2008-06-01,"Canada","Business",1336
2008-07-01,"Canada","Business",2499
2008-08-01,"Canada","Business",1220
2008-09-01,"Canada","Business",1547
2008-10-01,"Canada","Business",1652
2008-11-01,"Canada","Business",1785
2008-12-01,"Canada","Business",1064
2009-01-01,"Canada","Business",1052
2009-02-01,"Canada","Business",1418
2009-03-01,"Canada","Business",1715
2009-04-01,"Canada","Business",1213
2009-05-01,"Canada","Business",1194
2009-06-01,"Canada","Business",1087
2009-07-01,"Canada","Business",1100
2009-08-01,"Canada","Business",1130
2009-09-01,"Canada","Business",1150
2009-10-01,"Canada","Business",1625
2009-11-01,"Canada","Business",1641
2009-12-01,"Canada","Business",829
2010-01-01,"Canada","Business",1199
2010-02-01,"Canada","Business",1316
2010-03-01,"Canada","Business",1580
2010-04-01,"Canada","Business",1699
2010-05-01,"Canada","Business",1583
2010-06-01,"Canada","Business",1546
2010-07-01,"Canada","Business",1174
2010-08-01,"Canada","Business",1616
2010-09-01,"Canada","Business",1463
2010-10-01,"Canada","Business",1704
2010-11-01,"Canada","Business",1956
2010-12-01,"Canada","Business",905
2011-01-01,"Canada","Business",1208
2011-02-01,"Canada","Business",1960
2011-03-01,"Canada","Business",1522
2011-04-01,"Canada","Business",1554
2011-05-01,"Canada","Business",1380
2011-06-01,"Canada","Business",1196
2011-07-01,"Canada","Business",1672
2011-08-01,"Canada","Business",1449
2011-09-01,"Canada","Business",1523
2011-10-01,"Canada","Business",1642
2011-11-01,"Canada","Business",2589
2011-12-01,"Canada","Business",900
2012-01-01,"Canada","Business",1583
2012-02-01,"Canada","Business",1835
2012-03-01,"Canada","Business",1655
2012-04-01,"Canada","Business",1619
2012-05-01,"Canada","Business",1985
2012-06-01,"Canada","Business",1617
2012-07-01,"Canada","Business",1518
2012-08-01,"Canada","Business",1650
2012-09-01,"Canada","Business",1803
2012-10-01,"Canada","Business",1754
2012-11-01,"Canada","Business",1609
2012-12-01,"Canada","Business",858
2013-01-01,"Canada","Business",1336
2013-02-01,"Canada","Business",2086
2013-03-01,"Canada","Business",1847
2013-04-01,"Canada","Business",1942
2013-05-01,"Canada","Business",1558
2013-06-01,"Canada","Business",1380
2013-07-01,"Canada","Business",1378
2013-08-01,"Canada","Business",1824
2013-09-01,"Canada","Business",1350
2013-10-01,"Canada","Business",1703
2013-11-01,"Canada","Business",1836
2013-12-01,"Canada","Business",1106
2014-01-01,"Canada","Business",1153
2014-02-01,"Canada","Business",1484
2014-03-01,"Canada","Business",1700
2014-04-01,"Canada","Business",1136
2014-05-01,"Canada","Business",1933
2014-06-01,"Canada","Business",1292
2014-07-01,"Canada","Business",1565
2014-08-01,"Canada","Business",1403
2014-09-01,"Canada","Business",1368
2014-10-01,"Canada","Business",1748
2014-11-01,"Canada","Business",2497
2014-12-01,"Canada","Business",710
2015-01-01,"Canada","Business",971
2015-02-01,"Canada","Business",1347
2015-03-01,"Canada","Business",1314
2015-04-01,"Canada","Business",1337
2015-05-01,"Canada","Business",1249
2015-06-01,"Canada","Business",1339
2015-07-01,"Canada","Business",1263
2015-08-01,"Canada","Business",1076
2015-09-01,"Canada","Business",1140
2015-10-01,"Canada","Business",1382
2015-11-01,"Canada","Business",1451
2015-12-01,"Canada","Business",604
2016-01-01,"Canada","Business",975
2016-02-01,"Canada","Business",1520
2016-03-01,"Canada","Business",1230
2016-04-01,"Canada","Business",1014
2016-05-01,"Canada","Business",1256
2016-06-01,"Canada","Business",1034
2016-07-01,"Canada","Business",1159
2016-08-01,"Canada","Business",1106
2016-09-01,"Canada","Business",1316
2016-10-01,"Canada","Business",1366
2016-11-01,"Canada","Business",1561
2016-12-01,"Canada","Business",692
2017-01-01,"Canada","Business",1004
2017-02-01,"Canada","Business",1638
2017-03-01,"Canada","Business",1371
2017-04-01,"Canada","Business",1139
2017-05-01,"Canada","Business",1071
2017-06-01,"Canada","Business",1450
2017-07-01,"Canada","Business",1413
2017-08-01,"Canada","Business",1146
2017-09-01,"Canada","Business",1326
2017-10-01,"Canada","Business",1916
2017-11-01,"Canada","Business",1951
2017-12-01,"Canada","Business",974
2018-01-01,"Canada","Business",1257
2018-02-01,"Canada","Business",1661
2018-03-01,"Canada","Business",1788
2018-04-01,"Canada","Business",1439
2018-05-01,"Canada","Business",1530
2018-06-01,"Canada","Business",1553
2018-07-01,"Canada","Business",1481
2018-08-01,"Canada","Business",1291
2018-09-01,"Canada","Business",1595
2018-10-01,"Canada","Business",2222
2018-11-01,"Canada","Business",2771
2018-12-01,"Canada","Business",1033
2019-01-01,"Canada","Business",1225
2019-02-01,"Canada","Business",1580
2019-03-01,"Canada","Business",2131
2019-04-01,"Canada","Business",1635
2019-05-01,"Canada","Business",1597
2019-06-01,"Canada","Business",1436
2019-07-01,"Canada","Business",1568
2019-08-01,"Canada","Business",1441
2019-09-01,"Canada","Business",1644
2019-10-01,"Canada","Business",2048
2019-11-01,"Canada","Business",2545
2019-12-01,"Canada","Business",1023
2020-01-01,"Canada","Business",1253
2020-02-01,"Canada","Business",1722
2005-01-01,"Canada","Education",1049
2005-02-01,"Canada","Education",895
2005-03-01,"Canada","Education",177
2005-04-01,"Canada","Education",105
2005-05-01,"Canada","Education",194
2005-06-01,"Canada","Education",195
2005-07-01,"Canada","Education",553
2005-08-01,"Canada","Education",220
2005-09-01,"Canada","Education",299
2005-10-01,"Canada","Education",241
2005-11-01,"Canada","Education",142
2005-12-01,"Canada","Education",161
2006-01-01,"Canada","Education",1370
2006-02-01,"Canada","Education",1206
2006-03-01,"Canada","Education",233
2006-04-01,"Canada","Education",300
2006-05-01,"Canada","Education",185
