"fecha","State","NOM"
1981-04-01,"ACT",-131
1981-07-01,"ACT",152
1981-10-01,"ACT",383
1982-01-01,"ACT",419
1982-04-01,"ACT",271
1982-07-01,"ACT",80
1982-10-01,"ACT",209
1983-01-01,"ACT",283
1983-04-01,"ACT",-31
1983-07-01,"ACT",199
1983-10-01,"ACT",120
1984-01-01,"ACT",346
1984-04-01,"ACT",10
1984-07-01,"ACT",193
1984-10-01,"ACT",-52
1985-01-01,"ACT",495
1985-04-01,"ACT",22
1985-07-01,"ACT",303
1985-10-01,"ACT",339
1986-01-01,"ACT",511
1986-04-01,"ACT",267
1986-07-01,"ACT",306
1986-10-01,"ACT",442
1987-01-01,"ACT",709
1987-04-01,"ACT",167
1987-07-01,"ACT",545
1987-10-01,"ACT",32
1988-01-01,"ACT",788
1988-04-01,"ACT",77
1988-07-01,"ACT",477
1988-10-01,"ACT",326
1989-01-01,"ACT",439
1989-04-01,"ACT",-162
1989-07-01,"ACT",211
1989-10-01,"ACT",258
1990-01-01,"ACT",577
1990-04-01,"ACT",-31
1990-07-01,"ACT",224
1990-10-01,"ACT",-228
1991-01-01,"ACT",576
1991-04-01,"ACT",-145
1991-07-01,"ACT",110
1991-10-01,"ACT",-204
1992-01-01,"ACT",384
1992-04-01,"ACT",-262
1992-07-01,"ACT",-38
1992-10-01,"ACT",-321
1993-01-01,"ACT",246
1993-04-01,"ACT",-490
1993-07-01,"ACT",97
1993-10-01,"ACT",-445
1994-01-01,"ACT",170
1994-04-01,"ACT",-240
1994-07-01,"ACT",216
1994-10-01,"ACT",-618
1995-01-01,"ACT",437
1995-04-01,"ACT",95
1995-07-01,"ACT",193
1995-10-01,"ACT",53
1996-01-01,"ACT",42
1996-04-01,"ACT",102
1996-07-01,"ACT",179
1996-10-01,"ACT",-190
1997-01-01,"ACT",132
1997-04-01,"ACT",-191
1997-07-01,"ACT",-79
1997-10-01,"ACT",-247
1998-01-01,"ACT",360
1998-04-01,"ACT",-276
1998-07-01,"ACT",-161
1998-10-01,"ACT",44
1999-01-01,"ACT",239
1999-04-01,"ACT",-347
1999-07-01,"ACT",-115
1999-10-01,"ACT",-264
2000-01-01,"ACT",304
2000-04-01,"ACT",-24
2000-07-01,"ACT",204
2000-10-01,"ACT",-133
2001-01-01,"ACT",611
2001-04-01,"ACT",37
2001-07-01,"ACT",111
2001-10-01,"ACT",76
2002-01-01,"ACT",443
2002-04-01,"ACT",68
2002-07-01,"ACT",242
2002-10-01,"ACT",21
2003-01-01,"ACT",630
2003-04-01,"ACT",-8
2003-07-01,"ACT",49
2003-10-01,"ACT",58
2004-01-01,"ACT",408
2004-04-01,"ACT",-59
2004-07-01,"ACT",131
2004-10-01,"ACT",-179
2005-01-01,"ACT",584
2005-04-01,"ACT",-50
2005-07-01,"ACT",69
2005-10-01,"ACT",71
2006-01-01,"ACT",413
2006-04-01,"ACT",-52
2006-07-01,"ACT",363
2006-10-01,"ACT",307
2007-01-01,"ACT",913
2007-04-01,"ACT",353
2007-07-01,"ACT",407
2007-10-01,"ACT",204
2008-01-01,"ACT",1260
2008-04-01,"ACT",647
2008-07-01,"ACT",883
2008-10-01,"ACT",535
2009-01-01,"ACT",1572
2009-04-01,"ACT",618
2009-07-01,"ACT",980
2009-10-01,"ACT",498
2010-01-01,"ACT",1282
2010-04-01,"ACT",325
2010-07-01,"ACT",336
2010-10-01,"ACT",58
2011-01-01,"ACT",1033
2011-04-01,"ACT",311
2011-07-01,"ACT",962
2011-10-01,"ACT",745
2012-01-01,"ACT",1716
2012-04-01,"ACT",596
2012-07-01,"ACT",946
2012-10-01,"ACT",297
2013-01-01,"ACT",1307
2013-04-01,"ACT",365
2013-07-01,"ACT",804
2013-10-01,"ACT",172
2014-01-01,"ACT",1463
2014-04-01,"ACT",276
2014-07-01,"ACT",1144
2014-10-01,"ACT",330
2015-01-01,"ACT",1555
2015-04-01,"ACT",467
2015-07-01,"ACT",952
2015-10-01,"ACT",296
2016-01-01,"ACT",1643
2016-04-01,"ACT",439
2016-07-01,"ACT",1322
2016-10-01,"ACT",443
2017-01-01,"ACT",1930
2017-04-01,"ACT",453
2017-07-01,"ACT",1629
2017-10-01,"ACT",336
2018-01-01,"ACT",1941
2018-04-01,"ACT",692
2018-07-01,"ACT",1259
2018-10-01,"ACT",-76
2019-01-01,"ACT",1399
2019-04-01,"ACT",227
2019-07-01,"ACT",1030
2019-10-01,"ACT",-423
2020-01-01,"ACT",1579
2020-04-01,"ACT",49
2020-07-01,"ACT",-990
2020-10-01,"ACT",-1109
2021-01-01,"ACT",-591
2021-04-01,"ACT",-450
2021-07-01,"ACT",-637
2021-10-01,"ACT",909
2022-01-01,"ACT",2129
2022-04-01,"ACT",985
2022-07-01,"ACT",2398
2022-10-01,"ACT",1498
2023-01-01,"ACT",3101
2023-04-01,"ACT",1544
2023-07-01,"ACT",2649
1981-04-01,"NSW",9281
1981-07-01,"NSW",13284
1981-10-01,"NSW",13295
1982-01-01,"NSW",12477
1982-04-01,"NSW",10337
1982-07-01,"NSW",9593
1982-10-01,"NSW",6138
1983-01-01,"NSW",6483
1983-04-01,"NSW",3526
1983-07-01,"NSW",5174
1983-10-01,"NSW",4901
1984-01-01,"NSW",4748
1984-04-01,"NSW",5875
1984-07-01,"NSW",7967
1984-10-01,"NSW",7376
1985-01-01,"NSW",9033
1985-04-01,"NSW",6903
1985-07-01,"NSW",9472
1985-10-01,"NSW",11725
1986-01-01,"NSW",10523
1986-04-01,"NSW",9202
1986-07-01,"NSW",12290
1986-10-01,"NSW",12826
1987-01-01,"NSW",14819
1987-04-01,"NSW",12758
1987-07-01,"NSW",15572
1987-10-01,"NSW",15170
1988-01-01,"NSW",18575
1988-04-01,"NSW",12173
1988-07-01,"NSW",21495
1988-10-01,"NSW",16998
1989-01-01,"NSW",16594
1989-04-01,"NSW",7549
1989-07-01,"NSW",14092
1989-10-01,"NSW",14459
1990-01-01,"NSW",13847
1990-04-01,"NSW",9801
1990-07-01,"NSW",10649
1990-10-01,"NSW",7053
1991-01-01,"NSW",12878
1991-04-01,"NSW",5916
1991-07-01,"NSW",11509
1991-10-01,"NSW",4838
1992-01-01,"NSW",11443
1992-04-01,"NSW",3388
1992-07-01,"NSW",6423
1992-10-01,"NSW",1890
1993-01-01,"NSW",6812
1993-04-01,"NSW",-2497
1993-07-01,"NSW",8122
1993-10-01,"NSW",3199
1994-01-01,"NSW",8097
1994-04-01,"NSW",2511
1994-07-01,"NSW",12369
1994-10-01,"NSW",2602
1995-01-01,"NSW",9776
1995-04-01,"NSW",11205
1995-07-01,"NSW",12797
1995-10-01,"NSW",14384
1996-01-01,"NSW",11172
1996-04-01,"NSW",9692
1996-07-01,"NSW",13982
1996-10-01,"NSW",9484
1997-01-01,"NSW",11134
1997-04-01,"NSW",2691
1997-07-01,"NSW",9222
1997-10-01,"NSW",6668
1998-01-01,"NSW",12292
1998-04-01,"NSW",3661
1998-07-01,"NSW",11777
1998-10-01,"NSW",7498
1999-01-01,"NSW",13771
1999-04-01,"NSW",8042
1999-07-01,"NSW",11258
1999-10-01,"NSW",10763
2000-01-01,"NSW",14023
2000-04-01,"NSW",7645
2000-07-01,"NSW",13329
2000-10-01,"NSW",12348
2001-01-01,"NSW",22036
2001-04-01,"NSW",10906
2001-07-01,"NSW",11376
2001-10-01,"NSW",12872
2002-01-01,"NSW",14230
2002-04-01,"NSW",5933
2002-07-01,"NSW",10844
2002-10-01,"NSW",9885
2003-01-01,"NSW",15031
2003-04-01,"NSW",5159
2003-07-01,"NSW",7722
2003-10-01,"NSW",7481
2004-01-01,"NSW",11640
2004-04-01,"NSW",2977
2004-07-01,"NSW",9151
2004-10-01,"NSW",7901
2005-01-01,"NSW",13768
2005-04-01,"NSW",4385
2005-07-01,"NSW",10786
2005-10-01,"NSW",8641
2006-01-01,"NSW",15160
2006-04-01,"NSW",3936
2006-07-01,"NSW",18905
2006-10-01,"NSW",17010
2007-01-01,"NSW",23022
2007-04-01,"NSW",14633
2007-07-01,"NSW",20903
2007-10-01,"NSW",18339
2008-01-01,"NSW",29416
2008-04-01,"NSW",18731
2008-07-01,"NSW",25036
2008-10-01,"NSW",23244
2009-01-01,"NSW",23899
2009-04-01,"NSW",14564
2009-07-01,"NSW",17707
2009-10-01,"NSW",13994
2010-01-01,"NSW",17556
2010-04-01,"NSW",7895
2010-07-01,"NSW",11970
2010-10-01,"NSW",12623
2011-01-01,"NSW",17961
2011-04-01,"NSW",9121
2011-07-01,"NSW",14098
2011-10-01,"NSW",12985
2012-01-01,"NSW",17902
2012-04-01,"NSW",12241
2012-07-01,"NSW",16536
2012-10-01,"NSW",16456
2013-01-01,"NSW",20704
2013-04-01,"NSW",13067
2013-07-01,"NSW",18629
2013-10-01,"NSW",15183
2014-01-01,"NSW",21805
2014-04-01,"NSW",11375
2014-07-01,"NSW",19303
2014-10-01,"NSW",15869
2015-01-01,"NSW",22897
2015-04-01,"NSW",12240
2015-07-01,"NSW",20471
2015-10-01,"NSW",17230
2016-01-01,"NSW",26055
2016-04-01,"NSW",16251
2016-07-01,"NSW",30126
2016-10-01,"NSW",23770
2017-01-01,"NSW",33051
2017-04-01,"NSW",18555
2017-07-01,"NSW",28130
2017-10-01,"NSW",15192
2018-01-01,"NSW",30281
2018-04-01,"NSW",17047
2018-07-01,"NSW",27542
2018-10-01,"NSW",18016
2019-01-01,"NSW",26960
2019-04-01,"NSW",12025
2019-07-01,"NSW",23289
2019-10-01,"NSW",17010
2020-01-01,"NSW",21509
2020-04-01,"NSW",-3945
2020-07-01,"NSW",-10075
2020-10-01,"NSW",-487
