"fecha","Country","Purpose","Count"
2005-01-01,"China (excl SARs and Taiwan province)","Business",5748
2005-02-01,"China (excl SARs and Taiwan province)","Business",4483
2005-03-01,"China (excl SARs and Taiwan province)","Business",7052
2005-04-01,"China (excl SARs and Taiwan province)","Business",9836
2005-05-01,"China (excl SARs and Taiwan province)","Business",6050
2005-06-01,"China (excl SARs and Taiwan province)","Business",7112
2005-07-01,"China (excl SARs and Taiwan province)","Business",6556
2005-08-01,"China (excl SARs and Taiwan province)","Business",8347
2005-09-01,"China (excl SARs and Taiwan province)","Business",7974
2005-10-01,"China (excl SARs and Taiwan province)","Business",8680
2005-11-01,"China (excl SARs and Taiwan province)","Business",8456
2005-12-01,"China (excl SARs and Taiwan province)","Business",4113
2006-01-01,"China (excl SARs and Taiwan province)","Business",4106
2006-02-01,"China (excl SARs and Taiwan province)","Business",6532
2006-03-01,"China (excl SARs and Taiwan province)","Business",7520
2006-04-01,"China (excl SARs and Taiwan province)","Business",8609
2006-05-01,"China (excl SARs and Taiwan province)","Business",9577
2006-06-01,"China (excl SARs and Taiwan province)","Business",8468
2006-07-01,"China (excl SARs and Taiwan province)","Business",6611
2006-08-01,"China (excl SARs and Taiwan province)","Business",6984
2006-09-01,"China (excl SARs and Taiwan province)","Business",8599
2006-10-01,"China (excl SARs and Taiwan province)","Business",10184
2006-11-01,"China (excl SARs and Taiwan province)","Business",8532
2006-12-01,"China (excl SARs and Taiwan province)","Business",4301
2007-01-01,"China (excl SARs and Taiwan province)","Business",6454
2007-02-01,"China (excl SARs and Taiwan province)","Business",3899
2007-03-01,"China (excl SARs and Taiwan province)","Business",9509
2007-04-01,"China (excl SARs and Taiwan province)","Business",10408
2007-05-01,"China (excl SARs and Taiwan province)","Business",9356
2007-06-01,"China (excl SARs and Taiwan province)","Business",7157
2007-07-01,"China (excl SARs and Taiwan province)","Business",6477
2007-08-01,"China (excl SARs and Taiwan province)","Business",5790
2007-09-01,"China (excl SARs and Taiwan province)","Business",8286
2007-10-01,"China (excl SARs and Taiwan province)","Business",9749
2007-11-01,"China (excl SARs and Taiwan province)","Business",6495
2007-12-01,"China (excl SARs and Taiwan province)","Business",4923
2008-01-01,"China (excl SARs and Taiwan province)","Business",5205
2008-02-01,"China (excl SARs and Taiwan province)","Business",4787
2008-03-01,"China (excl SARs and Taiwan province)","Business",7581
2008-04-01,"China (excl SARs and Taiwan province)","Business",8306
2008-05-01,"China (excl SARs and Taiwan province)","Business",6798
2008-06-01,"China (excl SARs and Taiwan province)","Business",4707
2008-07-01,"China (excl SARs and Taiwan province)","Business",4596
2008-08-01,"China (excl SARs and Taiwan province)","Business",4519
2008-09-01,"China (excl SARs and Taiwan province)","Business",5726
2008-10-01,"China (excl SARs and Taiwan province)","Business",9291
2008-11-01,"China (excl SARs and Taiwan province)","Business",6295
2008-12-01,"China (excl SARs and Taiwan province)","Business",2034
2009-01-01,"China (excl SARs and Taiwan province)","Business",2534
2009-02-01,"China (excl SARs and Taiwan province)","Business",4988
2009-03-01,"China (excl SARs and Taiwan province)","Business",5218
2009-04-01,"China (excl SARs and Taiwan province)","Business",4910
2009-05-01,"China (excl SARs and Taiwan province)","Business",5089
2009-06-01,"China (excl SARs and Taiwan province)","Business",5217
2009-07-01,"China (excl SARs and Taiwan province)","Business",4405
2009-08-01,"China (excl SARs and Taiwan province)","Business",5329
2009-09-01,"China (excl SARs and Taiwan province)","Business",6258
2009-10-01,"China (excl SARs and Taiwan province)","Business",8394
2009-11-01,"China (excl SARs and Taiwan province)","Business",6714
2009-12-01,"China (excl SARs and Taiwan province)","Business",3319
2010-01-01,"China (excl SARs and Taiwan province)","Business",4941
2010-02-01,"China (excl SARs and Taiwan province)","Business",3529
2010-03-01,"China (excl SARs and Taiwan province)","Business",7841
2010-04-01,"China (excl SARs and Taiwan province)","Business",8475
2010-05-01,"China (excl SARs and Taiwan province)","Business",7558
2010-06-01,"China (excl SARs and Taiwan province)","Business",6947
2010-07-01,"China (excl SARs and Taiwan province)","Business",6057
2010-08-01,"China (excl SARs and Taiwan province)","Business",7862
2010-09-01,"China (excl SARs and Taiwan province)","Business",8216
2010-10-01,"China (excl SARs and Taiwan province)","Business",9222
2010-11-01,"China (excl SARs and Taiwan province)","Business",7219
2010-12-01,"China (excl SARs and Taiwan province)","Business",4129
2011-01-01,"China (excl SARs and Taiwan province)","Business",4098
2011-02-01,"China (excl SARs and Taiwan province)","Business",5512
2011-03-01,"China (excl SARs and Taiwan province)","Business",7857
2011-04-01,"China (excl SARs and Taiwan province)","Business",7611
2011-05-01,"China (excl SARs and Taiwan province)","Business",8500
2011-06-01,"China (excl SARs and Taiwan province)","Business",5559
2011-07-01,"China (excl SARs and Taiwan province)","Business",5796
2011-08-01,"China (excl SARs and Taiwan province)","Business",6430
2011-09-01,"China (excl SARs and Taiwan province)","Business",7285
2011-10-01,"China (excl SARs and Taiwan province)","Business",9434
2011-11-01,"China (excl SARs and Taiwan province)","Business",8270
2011-12-01,"China (excl SARs and Taiwan province)","Business",4512
2012-01-01,"China (excl SARs and Taiwan province)","Business",4166
2012-02-01,"China (excl SARs and Taiwan province)","Business",6612
2012-03-01,"China (excl SARs and Taiwan province)","Business",9164
2012-04-01,"China (excl SARs and Taiwan province)","Business",9082
2012-05-01,"China (excl SARs and Taiwan province)","Business",7128
2012-06-01,"China (excl SARs and Taiwan province)","Business",5913
2012-07-01,"China (excl SARs and Taiwan province)","Business",6521
2012-08-01,"China (excl SARs and Taiwan province)","Business",6147
2012-09-01,"China (excl SARs and Taiwan province)","Business",7640
2012-10-01,"China (excl SARs and Taiwan province)","Business",9996
2012-11-01,"China (excl SARs and Taiwan province)","Business",7098
2012-12-01,"China (excl SARs and Taiwan province)","Business",4498
2013-01-01,"China (excl SARs and Taiwan province)","Business",4441
2013-02-01,"China (excl SARs and Taiwan province)","Business",4651
2013-03-01,"China (excl SARs and Taiwan province)","Business",8373
2013-04-01,"China (excl SARs and Taiwan province)","Business",10121
2013-05-01,"China (excl SARs and Taiwan province)","Business",7576
2013-06-01,"China (excl SARs and Taiwan province)","Business",6658
2013-07-01,"China (excl SARs and Taiwan province)","Business",7169
2013-08-01,"China (excl SARs and Taiwan province)","Business",5964
2013-09-01,"China (excl SARs and Taiwan province)","Business",7710
2013-10-01,"China (excl SARs and Taiwan province)","Business",10643
2013-11-01,"China (excl SARs and Taiwan province)","Business",7301
2013-12-01,"China (excl SARs and Taiwan province)","Business",4228
2014-01-01,"China (excl SARs and Taiwan province)","Business",3352
2014-02-01,"China (excl SARs and Taiwan province)","Business",5434
2014-03-01,"China (excl SARs and Taiwan province)","Business",8683
2014-04-01,"China (excl SARs and Taiwan province)","Business",8013
2014-05-01,"China (excl SARs and Taiwan province)","Business",8078
2014-06-01,"China (excl SARs and Taiwan province)","Business",7379
2014-07-01,"China (excl SARs and Taiwan province)","Business",6460
2014-08-01,"China (excl SARs and Taiwan province)","Business",5576
2014-09-01,"China (excl SARs and Taiwan province)","Business",8468
2014-10-01,"China (excl SARs and Taiwan province)","Business",10081
2014-11-01,"China (excl SARs and Taiwan province)","Business",7850
2014-12-01,"China (excl SARs and Taiwan province)","Business",4246
2015-01-01,"China (excl SARs and Taiwan province)","Business",5007
2015-02-01,"China (excl SARs and Taiwan province)","Business",3526
2015-03-01,"China (excl SARs and Taiwan province)","Business",9105
2015-04-01,"China (excl SARs and Taiwan province)","Business",9008
2015-05-01,"China (excl SARs and Taiwan province)","Business",8514
2015-06-01,"China (excl SARs and Taiwan province)","Business",5667
2015-07-01,"China (excl SARs and Taiwan province)","Business",5110
2015-08-01,"China (excl SARs and Taiwan province)","Business",6143
2015-09-01,"China (excl SARs and Taiwan province)","Business",8224
2015-10-01,"China (excl SARs and Taiwan province)","Business",8619
2015-11-01,"China (excl SARs and Taiwan province)","Business",7441
2015-12-01,"China (excl SARs and Taiwan province)","Business",3465
2016-01-01,"China (excl SARs and Taiwan province)","Business",5441
2016-02-01,"China (excl SARs and Taiwan province)","Business",3978
2016-03-01,"China (excl SARs and Taiwan province)","Business",7220
2016-04-01,"China (excl SARs and Taiwan province)","Business",8223
2016-05-01,"China (excl SARs and Taiwan province)","Business",6497
2016-06-01,"China (excl SARs and Taiwan province)","Business",4791
2016-07-01,"China (excl SARs and Taiwan province)","Business",3915
2016-08-01,"China (excl SARs and Taiwan province)","Business",5544
2016-09-01,"China (excl SARs and Taiwan province)","Business",7220
2016-10-01,"China (excl SARs and Taiwan province)","Business",8657
2016-11-01,"China (excl SARs and Taiwan province)","Business",6768
2016-12-01,"China (excl SARs and Taiwan province)","Business",4219
2017-01-01,"China (excl SARs and Taiwan province)","Business",3614
2017-02-01,"China (excl SARs and Taiwan province)","Business",5058
2017-03-01,"China (excl SARs and Taiwan province)","Business",8455
2017-04-01,"China (excl SARs and Taiwan province)","Business",7094
2017-05-01,"China (excl SARs and Taiwan province)","Business",8569
2017-06-01,"China (excl SARs and Taiwan province)","Business",6750
2005-01-01,"China (excl SARs and Taiwan province)","Education",104
2005-02-01,"China (excl SARs and Taiwan province)","Education",175
2005-03-01,"China (excl SARs and Taiwan province)","Education",694
2005-04-01,"China (excl SARs and Taiwan province)","Education",279
2005-05-01,"China (excl SARs and Taiwan province)","Education",183
2005-06-01,"China (excl SARs and Taiwan province)","Education",310
2005-07-01,"China (excl SARs and Taiwan province)","Education",185
2005-08-01,"China (excl SARs and Taiwan province)","Education",394
2005-09-01,"China (excl SARs and Taiwan province)","Education",577
2005-10-01,"China (excl SARs and Taiwan province)","Education",369
2005-11-01,"China (excl SARs and Taiwan province)","Education",133
2005-12-01,"China (excl SARs and Taiwan province)","Education",116
2006-01-01,"China (excl SARs and Taiwan province)","Education",126
2006-02-01,"China (excl SARs and Taiwan province)","Education",349
2006-03-01,"China (excl SARs and Taiwan province)","Education",253
2006-04-01,"China (excl SARs and Taiwan province)","Education",578
2006-05-01,"China (excl SARs and Taiwan province)","Education",176
2006-06-01,"China (excl SARs and Taiwan province)","Education",170
2006-07-01,"China (excl SARs and Taiwan province)","Education",262
2006-08-01,"China (excl SARs and Taiwan province)","Education",441
2006-09-01,"China (excl SARs and Taiwan province)","Education",1005
2006-10-01,"China (excl SARs and Taiwan province)","Education",111
2006-11-01,"China (excl SARs and Taiwan province)","Education",351
2006-12-01,"China (excl SARs and Taiwan province)","Education",371
2007-01-01,"China (excl SARs and Taiwan province)","Education",224
2007-02-01,"China (excl SARs and Taiwan province)","Education",173
2007-03-01,"China (excl SARs and Taiwan province)","Education",295
2007-04-01,"China (excl SARs and Taiwan province)","Education",508
2007-05-01,"China (excl SARs and Taiwan province)","Education",297
2007-06-01,"China (excl SARs and Taiwan province)","Education",402
2007-07-01,"China (excl SARs and Taiwan province)","Education",195
2007-08-01,"China (excl SARs and Taiwan province)","Education",350
2007-09-01,"China (excl SARs and Taiwan province)","Education",866
2007-10-01,"China (excl SARs and Taiwan province)","Education",256
2007-11-01,"China (excl SARs and Taiwan province)","Education",205
2007-12-01,"China (excl SARs and Taiwan province)","Education",235
2008-01-01,"China (excl SARs and Taiwan province)","Education",168
2008-02-01,"China (excl SARs and Taiwan province)","Education",255
2008-03-01,"China (excl SARs and Taiwan province)","Education",351
2008-04-01,"China (excl SARs and Taiwan province)","Education",320
2008-05-01,"China (excl SARs and Taiwan province)","Education",52
2008-06-01,"China (excl SARs and Taiwan province)","Education",234
2008-07-01,"China (excl SARs and Taiwan province)","Education",501
2008-08-01,"China (excl SARs and Taiwan province)","Education",525
2008-09-01,"China (excl SARs and Taiwan province)","Education",893
2008-10-01,"China (excl SARs and Taiwan province)","Education",116
2008-11-01,"China (excl SARs and Taiwan province)","Education",349
2008-12-01,"China (excl SARs and Taiwan province)","Education",106
2009-01-01,"China (excl SARs and Taiwan province)","Education",167
2009-02-01,"China (excl SARs and Taiwan province)","Education",283
2009-03-01,"China (excl SARs and Taiwan province)","Education",79
2009-04-01,"China (excl SARs and Taiwan province)","Education",88
2009-05-01,"China (excl SARs and Taiwan province)","Education",232
2009-06-01,"China (excl SARs and Taiwan province)","Education",346
2009-07-01,"China (excl SARs and Taiwan province)","Education",357
2009-08-01,"China (excl SARs and Taiwan province)","Education",365
2009-09-01,"China (excl SARs and Taiwan province)","Education",781
2009-10-01,"China (excl SARs and Taiwan province)","Education",292
2009-11-01,"China (excl SARs and Taiwan province)","Education",323
2009-12-01,"China (excl SARs and Taiwan province)","Education",246
2010-01-01,"China (excl SARs and Taiwan province)","Education",429
2010-02-01,"China (excl SARs and Taiwan province)","Education",556
2010-03-01,"China (excl SARs and Taiwan province)","Education",399
2010-04-01,"China (excl SARs and Taiwan province)","Education",610
2010-05-01,"China (excl SARs and Taiwan province)","Education",288
2010-06-01,"China (excl SARs and Taiwan province)","Education",400
2010-07-01,"China (excl SARs and Taiwan province)","Education",396
2010-08-01,"China (excl SARs and Taiwan province)","Education",611
2010-09-01,"China (excl SARs and Taiwan province)","Education",1303
2010-10-01,"China (excl SARs and Taiwan province)","Education",312
2010-11-01,"China (excl SARs and Taiwan province)","Education",534
2010-12-01,"China (excl SARs and Taiwan province)","Education",507
2011-01-01,"China (excl SARs and Taiwan province)","Education",178
2011-02-01,"China (excl SARs and Taiwan province)","Education",298
2011-03-01,"China (excl SARs and Taiwan province)","Education",169
2011-04-01,"China (excl SARs and Taiwan province)","Education",731
2011-05-01,"China (excl SARs and Taiwan province)","Education",116
2011-06-01,"China (excl SARs and Taiwan province)","Education",94
2011-07-01,"China (excl SARs and Taiwan province)","Education",452
2011-08-01,"China (excl SARs and Taiwan province)","Education",289
2011-09-01,"China (excl SARs and Taiwan province)","Education",726
2011-10-01,"China (excl SARs and Taiwan province)","Education",205
2011-11-01,"China (excl SARs and Taiwan province)","Education",524
2011-12-01,"China (excl SARs and Taiwan province)","Education",265
2012-01-01,"China (excl SARs and Taiwan province)","Education",172
2012-02-01,"China (excl SARs and Taiwan province)","Education",409
2012-03-01,"China (excl SARs and Taiwan province)","Education",205
2012-04-01,"China (excl SARs and Taiwan province)","Education",360
2012-05-01,"China (excl SARs and Taiwan province)","Education",368
2012-06-01,"China (excl SARs and Taiwan province)","Education",828
2012-07-01,"China (excl SARs and Taiwan province)","Education",219
2012-08-01,"China (excl SARs and Taiwan province)","Education",342
2012-09-01,"China (excl SARs and Taiwan province)","Education",659
2012-10-01,"China (excl SARs and Taiwan province)","Education",182
2012-11-01,"China (excl SARs and Taiwan province)","Education",474
2012-12-01,"China (excl SARs and Taiwan province)","Education",478
2013-01-01,"China (excl SARs and Taiwan province)","Education",240
2013-02-01,"China (excl SARs and Taiwan province)","Education",616
2013-03-01,"China (excl SARs and Taiwan province)","Education",575
2013-04-01,"China (excl SARs and Taiwan province)","Education",281
2013-05-01,"China (excl SARs and Taiwan province)","Education",124
2013-06-01,"China (excl SARs and Taiwan province)","Education",376
2013-07-01,"China (excl SARs and Taiwan province)","Education",303
2013-08-01,"China (excl SARs and Taiwan province)","Education",571
2013-09-01,"China (excl SARs and Taiwan province)","Education",523
2013-10-01,"China (excl SARs and Taiwan province)","Education",144
2013-11-01,"China (excl SARs and Taiwan province)","Education",488
2013-12-01,"China (excl SARs and Taiwan province)","Education",495
2014-01-01,"China (excl SARs and Taiwan province)","Education",191
2014-02-01,"China (excl SARs and Taiwan province)","Education",520
2014-03-01,"China (excl SARs and Taiwan province)","Education",330
2014-04-01,"China (excl SARs and Taiwan province)","Education",576
2014-05-01,"China (excl SARs and Taiwan province)","Education",355
2014-06-01,"China (excl SARs and Taiwan province)","Education",734
2014-07-01,"China (excl SARs and Taiwan province)","Education",768
2014-08-01,"China (excl SARs and Taiwan province)","Education",633
2014-09-01,"China (excl SARs and Taiwan province)","Education",935
2014-10-01,"China (excl SARs and Taiwan province)","Education",283
2014-11-01,"China (excl SARs and Taiwan province)","Education",570
2014-12-01,"China (excl SARs and Taiwan province)","Education",344
2015-01-01,"China (excl SARs and Taiwan province)","Education",107
2015-02-01,"China (excl SARs and Taiwan province)","Education",307
2015-03-01,"China (excl SARs and Taiwan province)","Education",257
2015-04-01,"China (excl SARs and Taiwan province)","Education",705
2015-05-01,"China (excl SARs and Taiwan province)","Education",334
2015-06-01,"China (excl SARs and Taiwan province)","Education",600
2015-07-01,"China (excl SARs and Taiwan province)","Education",722
2015-08-01,"China (excl SARs and Taiwan province)","Education",383
2015-09-01,"China (excl SARs and Taiwan province)","Education",1004
2015-10-01,"China (excl SARs and Taiwan province)","Education",387
2015-11-01,"China (excl SARs and Taiwan province)","Education",478
2015-12-01,"China (excl SARs and Taiwan province)","Education",186
2016-01-01,"China (excl SARs and Taiwan province)","Education",269
2016-02-01,"China (excl SARs and Taiwan province)","Education",181
2016-03-01,"China (excl SARs and Taiwan province)","Education",617
2016-04-01,"China (excl SARs and Taiwan province)","Education",416
2016-05-01,"China (excl SARs and Taiwan province)","Education",290
2016-06-01,"China (excl SARs and Taiwan province)","Education",647
2016-07-01,"China (excl SARs and Taiwan province)","Education",395
2016-08-01,"China (excl SARs and Taiwan province)","Education",819
2016-09-01,"China (excl SARs and Taiwan province)","Education",1094
2016-10-01,"China (excl SARs and Taiwan province)","Education",438
2016-11-01,"China (excl SARs and Taiwan province)","Education",555
2016-12-01,"China (excl SARs and Taiwan province)","Education",395
2017-01-01,"China (excl SARs and Taiwan province)","Education",419
2017-02-01,"China (excl SARs and Taiwan province)","Education",383
2017-03-01,"China (excl SARs and Taiwan province)","Education",512
2017-04-01,"China (excl SARs and Taiwan province)","Education",245
2017-05-01,"China (excl SARs and Taiwan province)","Education",174
2017-06-01,"China (excl SARs and Taiwan province)","Education",536
2005-01-01,"China (excl SARs and Taiwan province)","Employment",571
2005-02-01,"China (excl SARs and Taiwan province)","Employment",687
2005-03-01,"China (excl SARs and Taiwan province)","Employment",430
2005-04-01,"China (excl SARs and Taiwan province)","Employment",145
2005-05-01,"China (excl SARs and Taiwan province)","Employment",818
2005-06-01,"China (excl SARs and Taiwan province)","Employment",391
2005-07-01,"China (excl SARs and Taiwan province)","Employment",361
2005-08-01,"China (excl SARs and Taiwan province)","Employment",660
2005-09-01,"China (excl SARs and Taiwan province)","Employment",286
2005-10-01,"China (excl SARs and Taiwan province)","Employment",495
2005-11-01,"China (excl SARs and Taiwan province)","Employment",202
2005-12-01,"China (excl SARs and Taiwan province)","Employment",317
2006-01-01,"China (excl SARs and Taiwan province)","Employment",409
2006-02-01,"China (excl SARs and Taiwan province)","Employment",910
2006-03-01,"China (excl SARs and Taiwan province)","Employment",303
2006-04-01,"China (excl SARs and Taiwan province)","Employment",570
2006-05-01,"China (excl SARs and Taiwan province)","Employment",425
2006-06-01,"China (excl SARs and Taiwan province)","Employment",121
2006-07-01,"China (excl SARs and Taiwan province)","Employment",350
2006-08-01,"China (excl SARs and Taiwan province)","Employment",1138
2006-09-01,"China (excl SARs and Taiwan province)","Employment",312
2006-10-01,"China (excl SARs and Taiwan province)","Employment",553
2006-11-01,"China (excl SARs and Taiwan province)","Employment",305
2006-12-01,"China (excl SARs and Taiwan province)","Employment",312
2007-01-01,"China (excl SARs and Taiwan province)","Employment",682
2007-02-01,"China (excl SARs and Taiwan province)","Employment",668
2007-03-01,"China (excl SARs and Taiwan province)","Employment",637
2007-04-01,"China (excl SARs and Taiwan province)","Employment",406
2007-05-01,"China (excl SARs and Taiwan province)","Employment",648
2007-06-01,"China (excl SARs and Taiwan province)","Employment",297
2007-07-01,"China (excl SARs and Taiwan province)","Employment",507
2007-08-01,"China (excl SARs and Taiwan province)","Employment",731
2007-09-01,"China (excl SARs and Taiwan province)","Employment",239
2007-10-01,"China (excl SARs and Taiwan province)","Employment",373
2007-11-01,"China (excl SARs and Taiwan province)","Employment",464
2007-12-01,"China (excl SARs and Taiwan province)","Employment",353
2008-01-01,"China (excl SARs and Taiwan province)","Employment",446
2008-02-01,"China (excl SARs and Taiwan province)","Employment",733
2008-03-01,"China (excl SARs and Taiwan province)","Employment",491
2008-04-01,"China (excl SARs and Taiwan province)","Employment",390
2008-05-01,"China (excl SARs and Taiwan province)","Employment",486
2008-06-01,"China (excl SARs and Taiwan province)","Employment",93
2008-07-01,"China (excl SARs and Taiwan province)","Employment",366
2008-08-01,"China (excl SARs and Taiwan province)","Employment",761
2008-09-01,"China (excl SARs and Taiwan province)","Employment",367
2008-10-01,"China (excl SARs and Taiwan province)","Employment",372
2008-11-01,"China (excl SARs and Taiwan province)","Employment",244
2008-12-01,"China (excl SARs and Taiwan province)","Employment",205
2009-01-01,"China (excl SARs and Taiwan province)","Employment",842
2009-02-01,"China (excl SARs and Taiwan province)","Employment",387
2009-03-01,"China (excl SARs and Taiwan province)","Employment",599
2009-04-01,"China (excl SARs and Taiwan province)","Employment",475
2009-05-01,"China (excl SARs and Taiwan province)","Employment",541
2009-06-01,"China (excl SARs and Taiwan province)","Employment",464
2009-07-01,"China (excl SARs and Taiwan province)","Employment",442
2009-08-01,"China (excl SARs and Taiwan province)","Employment",527
2009-09-01,"China (excl SARs and Taiwan province)","Employment",335
2009-10-01,"China (excl SARs and Taiwan province)","Employment",739
2009-11-01,"China (excl SARs and Taiwan province)","Employment",291
2009-12-01,"China (excl SARs and Taiwan province)","Employment",238
2010-01-01,"China (excl SARs and Taiwan province)","Employment",892
2010-02-01,"China (excl SARs and Taiwan province)","Employment",679
2010-03-01,"China (excl SARs and Taiwan province)","Employment",559
2010-04-01,"China (excl SARs and Taiwan province)","Employment",551
2010-05-01,"China (excl SARs and Taiwan province)","Employment",406
2010-06-01,"China (excl SARs and Taiwan province)","Employment",312
2010-07-01,"China (excl SARs and Taiwan province)","Employment",511
2010-08-01,"China (excl SARs and Taiwan province)","Employment",554
2010-09-01,"China (excl SARs and Taiwan province)","Employment",520
2010-10-01,"China (excl SARs and Taiwan province)","Employment",1153
2010-11-01,"China (excl SARs and Taiwan province)","Employment",557
2010-12-01,"China (excl SARs and Taiwan province)","Employment",348
2011-01-01,"China (excl SARs and Taiwan province)","Employment",532
2011-02-01,"China (excl SARs and Taiwan province)","Employment",459
2011-03-01,"China (excl SARs and Taiwan province)","Employment",279
2011-04-01,"China (excl SARs and Taiwan province)","Employment",186
2011-05-01,"China (excl SARs and Taiwan province)","Employment",462
2011-06-01,"China (excl SARs and Taiwan province)","Employment",498
2011-07-01,"China (excl SARs and Taiwan province)","Employment",444
2011-08-01,"China (excl SARs and Taiwan province)","Employment",596
2011-09-01,"China (excl SARs and Taiwan province)","Employment",563
2011-10-01,"China (excl SARs and Taiwan province)","Employment",465
2011-11-01,"China (excl SARs and Taiwan province)","Employment",288
2011-12-01,"China (excl SARs and Taiwan province)","Employment",293
2012-01-01,"China (excl SARs and Taiwan province)","Employment",931
2012-02-01,"China (excl SARs and Taiwan province)","Employment",916
2012-03-01,"China (excl SARs and Taiwan province)","Employment",459
2012-04-01,"China (excl SARs and Taiwan province)","Employment",512
2012-05-01,"China (excl SARs and Taiwan province)","Employment",161
2012-06-01,"China (excl SARs and Taiwan province)","Employment",399
2012-07-01,"China (excl SARs and Taiwan province)","Employment",602
2012-08-01,"China (excl SARs and Taiwan province)","Employment",694
2012-09-01,"China (excl SARs and Taiwan province)","Employment",469
2012-10-01,"China (excl SARs and Taiwan province)","Employment",465
2012-11-01,"China (excl SARs and Taiwan province)","Employment",417
2012-12-01,"China (excl SARs and Taiwan province)","Employment",340
2013-01-01,"China (excl SARs and Taiwan province)","Employment",928
2013-02-01,"China (excl SARs and Taiwan province)","Employment",599
2013-03-01,"China (excl SARs and Taiwan province)","Employment",184
2013-04-01,"China (excl SARs and Taiwan province)","Employment",334
2013-05-01,"China (excl SARs and Taiwan province)","Employment",526
2013-06-01,"China (excl SARs and Taiwan province)","Employment",260
2013-07-01,"China (excl SARs and Taiwan province)","Employment",263
2013-08-01,"China (excl SARs and Taiwan province)","Employment",570
2013-09-01,"China (excl SARs and Taiwan province)","Employment",354
2013-10-01,"China (excl SARs and Taiwan province)","Employment",742
2013-11-01,"China (excl SARs and Taiwan province)","Employment",424
2013-12-01,"China (excl SARs and Taiwan province)","Employment",139
2014-01-01,"China (excl SARs and Taiwan province)","Employment",960
2014-02-01,"China (excl SARs and Taiwan province)","Employment",708
2014-03-01,"China (excl SARs and Taiwan province)","Employment",477
2014-04-01,"China (excl SARs and Taiwan province)","Employment",623
2014-05-01,"China (excl SARs and Taiwan province)","Employment",607
2014-06-01,"China (excl SARs and Taiwan province)","Employment",398
2014-07-01,"China (excl SARs and Taiwan province)","Employment",732
2014-08-01,"China (excl SARs and Taiwan province)","Employment",535
2014-09-01,"China (excl SARs and Taiwan province)","Employment",502
2014-10-01,"China (excl SARs and Taiwan province)","Employment",1059
2014-11-01,"China (excl SARs and Taiwan province)","Employment",533
2014-12-01,"China (excl SARs and Taiwan province)","Employment",632
2015-01-01,"China (excl SARs and Taiwan province)","Employment",511
2015-02-01,"China (excl SARs and Taiwan province)","Employment",742
2015-03-01,"China (excl SARs and Taiwan province)","Employment",746
2015-04-01,"China (excl SARs and Taiwan province)","Employment",897
2015-05-01,"China (excl SARs and Taiwan province)","Employment",518
2015-06-01,"China (excl SARs and Taiwan province)","Employment",580
2015-07-01,"China (excl SARs and Taiwan province)","Employment",819
2015-08-01,"China (excl SARs and Taiwan province)","Employment",1049
2015-09-01,"China (excl SARs and Taiwan province)","Employment",475
2015-10-01,"China (excl SARs and Taiwan province)","Employment",933
2015-11-01,"China (excl SARs and Taiwan province)","Employment",880
2015-12-01,"China (excl SARs and Taiwan province)","Employment",676
2016-01-01,"China (excl SARs and Taiwan province)","Employment",539
2016-02-01,"China (excl SARs and Taiwan province)","Employment",959
2016-03-01,"China (excl SARs and Taiwan province)","Employment",640
2016-04-01,"China (excl SARs and Taiwan province)","Employment",604
2016-05-01,"China (excl SARs and Taiwan province)","Employment",624
2016-06-01,"China (excl SARs and Taiwan province)","Employment",456
2016-07-01,"China (excl SARs and Taiwan province)","Employment",513
2016-08-01,"China (excl SARs and Taiwan province)","Employment",641
2016-09-01,"China (excl SARs and Taiwan province)","Employment",285
2016-10-01,"China (excl SARs and Taiwan province)","Employment",1154
2016-11-01,"China (excl SARs and Taiwan province)","Employment",684
2016-12-01,"China (excl SARs and Taiwan province)","Employment",568
2017-01-01,"China (excl SARs and Taiwan province)","Employment",609
2017-02-01,"China (excl SARs and Taiwan province)","Employment",604
2017-03-01,"China (excl SARs and Taiwan province)","Employment",521
2017-04-01,"China (excl SARs and Taiwan province)","Employment",568
2017-05-01,"China (excl SARs and Taiwan province)","Employment",733
2017-06-01,"China (excl SARs and Taiwan province)","Employment",356
2005-01-01,"China (excl SARs and Taiwan province)","Holiday",4749
