"fecha","State","Expenditure"
1985-07-01,"ACT",0.294
1985-10-01,"ACT",0.288
1986-01-01,"ACT",0.257
1986-04-01,"ACT",0.257
1986-07-01,"ACT",0.267
1986-10-01,"ACT",0.287
1987-01-01,"ACT",0.264
1987-04-01,"ACT",0.261
1987-07-01,"ACT",0.269
1987-10-01,"ACT",0.291
1988-01-01,"ACT",0.273
1988-04-01,"ACT",0.27
1988-07-01,"ACT",0.271
1988-10-01,"ACT",0.292
1989-01-01,"ACT",0.279
1989-04-01,"ACT",0.278
1989-07-01,"ACT",0.282
1989-10-01,"ACT",0.3
1990-01-01,"ACT",0.274
1990-04-01,"ACT",0.274
1990-07-01,"ACT",0.278
1990-10-01,"ACT",0.302
1991-01-01,"ACT",0.285
1991-04-01,"ACT",0.274
1991-07-01,"ACT",0.264
1991-10-01,"ACT",0.273
1992-01-01,"ACT",0.248
1992-04-01,"ACT",0.24
1992-07-01,"ACT",0.226
1992-10-01,"ACT",0.249
1993-01-01,"ACT",0.236
1993-04-01,"ACT",0.225
1993-07-01,"ACT",0.234
1993-10-01,"ACT",0.243
1994-01-01,"ACT",0.221
1994-04-01,"ACT",0.212
1994-07-01,"ACT",0.215
1994-10-01,"ACT",0.227
1995-01-01,"ACT",0.202
1995-04-01,"ACT",0.19
1995-07-01,"ACT",0.188
1995-10-01,"ACT",0.202
1996-01-01,"ACT",0.181
1996-04-01,"ACT",0.185
1996-07-01,"ACT",0.187
1996-10-01,"ACT",0.209
1997-01-01,"ACT",0.193
1997-04-01,"ACT",0.199
1997-07-01,"ACT",0.196
1997-10-01,"ACT",0.211
1998-01-01,"ACT",0.193
1998-04-01,"ACT",0.196
1998-07-01,"ACT",0.196
1998-10-01,"ACT",0.218
1999-01-01,"ACT",0.199
1999-04-01,"ACT",0.241
1999-07-01,"ACT",0.237
1999-10-01,"ACT",0.253
2000-01-01,"ACT",0.223
2000-04-01,"ACT",0.226
2000-07-01,"ACT",0.203
2000-10-01,"ACT",0.239
2001-01-01,"ACT",0.207
2001-04-01,"ACT",0.2
2001-07-01,"ACT",0.188
2001-10-01,"ACT",0.205
2002-01-01,"ACT",0.179
2002-04-01,"ACT",0.179
2002-07-01,"ACT",0.178
2002-10-01,"ACT",0.195
2003-01-01,"ACT",0.16
2003-04-01,"ACT",0.165
2003-07-01,"ACT",0.156
2003-10-01,"ACT",0.17
2004-01-01,"ACT",0.148
2004-04-01,"ACT",0.149
2004-07-01,"ACT",0.149
2004-10-01,"ACT",0.171
2005-01-01,"ACT",0.141
2005-04-01,"ACT",0.155
2005-07-01,"ACT",0.159
2005-10-01,"ACT",0.165
2006-01-01,"ACT",0.141
2006-04-01,"ACT",0.152
2006-07-01,"ACT",0.151
2006-10-01,"ACT",0.164
2007-01-01,"ACT",0.14
2007-04-01,"ACT",0.152
2007-07-01,"ACT",0.146
2007-10-01,"ACT",0.155
2008-01-01,"ACT",0.131
2008-04-01,"ACT",0.141
2008-07-01,"ACT",0.138
2008-10-01,"ACT",0.145
2009-01-01,"ACT",0.123
2009-04-01,"ACT",0.142
2009-07-01,"ACT",0.136
2009-10-01,"ACT",0.145
2010-01-01,"ACT",0.123
2010-04-01,"ACT",0.14
2010-07-01,"ACT",0.127
2010-10-01,"ACT",0.138
2011-01-01,"ACT",0.114
2011-04-01,"ACT",0.122
2011-07-01,"ACT",0.112
2011-10-01,"ACT",0.124
2012-01-01,"ACT",0.103
2012-04-01,"ACT",0.115
2012-07-01,"ACT",0.111
2012-10-01,"ACT",0.117
2013-01-01,"ACT",0.098
2013-04-01,"ACT",0.106
2013-07-01,"ACT",0.1
2013-10-01,"ACT",0.101
2014-01-01,"ACT",0.089
2014-04-01,"ACT",0.09
2014-07-01,"ACT",0.086
2014-10-01,"ACT",0.086
2015-01-01,"ACT",0.072
2015-04-01,"ACT",0.078
2015-07-01,"ACT",0.075
2015-10-01,"ACT",0.078
2016-01-01,"ACT",0.064
2016-04-01,"ACT",0.067
2016-07-01,"ACT",0.061
2016-10-01,"ACT",0.066
2017-01-01,"ACT",0.059
2017-04-01,"ACT",0.063
2017-07-01,"ACT",0.058
2017-10-01,"ACT",0.065
2018-01-01,"ACT",0.055
2018-04-01,"ACT",0.059
2018-07-01,"ACT",0.054
2018-10-01,"ACT",0.06
2019-01-01,"ACT",0.05
2019-04-01,"ACT",0.054
2019-07-01,"ACT",0.049
2019-10-01,"ACT",0.053
2020-01-01,"ACT",0.047
2020-04-01,"ACT",0.05
2020-07-01,"ACT",0.047
2020-10-01,"ACT",0.049
2021-01-01,"ACT",0.041
2021-04-01,"ACT",0.045
2021-07-01,"ACT",0.042
2021-10-01,"ACT",0.044
2022-01-01,"ACT",0.037
2022-04-01,"ACT",0.04
2022-07-01,"ACT",0.036
2022-10-01,"ACT",0.039
2023-01-01,"ACT",0.033
2023-04-01,"ACT",0.036
2023-07-01,"ACT",0.031
2023-10-01,"ACT",0.032
1985-07-01,"NSW",6.63
1985-10-01,"NSW",7.135
1986-01-01,"NSW",6.311
1986-04-01,"NSW",6.292
1986-07-01,"NSW",6.353
1986-10-01,"NSW",6.801
1987-01-01,"NSW",6.211
1987-04-01,"NSW",6.147
1987-07-01,"NSW",6.241
1987-10-01,"NSW",6.729
1988-01-01,"NSW",6.192
1988-04-01,"NSW",6.119
1988-07-01,"NSW",6.202
1988-10-01,"NSW",6.782
1989-01-01,"NSW",6.528
1989-04-01,"NSW",6.47
1989-07-01,"NSW",6.439
1989-10-01,"NSW",6.926
1990-01-01,"NSW",6.422
1990-04-01,"NSW",6.319
1990-07-01,"NSW",6.338
1990-10-01,"NSW",6.988
1991-01-01,"NSW",6.538
1991-04-01,"NSW",6.212
1991-07-01,"NSW",5.937
1991-10-01,"NSW",6.189
1992-01-01,"NSW",5.659
1992-04-01,"NSW",5.406
1992-07-01,"NSW",5.092
1992-10-01,"NSW",5.576
1993-01-01,"NSW",5.318
1993-04-01,"NSW",5.074
1993-07-01,"NSW",5.255
1993-10-01,"NSW",5.507
1994-01-01,"NSW",5.092
1994-04-01,"NSW",4.844
1994-07-01,"NSW",4.863
1994-10-01,"NSW",5.147
1995-01-01,"NSW",4.672
1995-04-01,"NSW",4.388
1995-07-01,"NSW",4.153
1995-10-01,"NSW",4.496
1996-01-01,"NSW",4.116
1996-04-01,"NSW",4.156
1996-07-01,"NSW",4.225
1996-10-01,"NSW",4.712
1997-01-01,"NSW",4.4
1997-04-01,"NSW",4.458
1997-07-01,"NSW",4.44
1997-10-01,"NSW",4.781
1998-01-01,"NSW",4.408
1998-04-01,"NSW",4.4
1998-07-01,"NSW",4.457
1998-10-01,"NSW",4.925
1999-01-01,"NSW",4.547
1999-04-01,"NSW",4.497
1999-07-01,"NSW",4.543
1999-10-01,"NSW",4.892
2000-01-01,"NSW",4.429
2000-04-01,"NSW",4.513
2000-07-01,"NSW",4.057
2000-10-01,"NSW",4.961
2001-01-01,"NSW",4.401
2001-04-01,"NSW",4.27
2001-07-01,"NSW",4.142
2001-10-01,"NSW",4.621
2002-01-01,"NSW",4.146
2002-04-01,"NSW",4.136
2002-07-01,"NSW",4.168
2002-10-01,"NSW",4.7
2003-01-01,"NSW",4.031
2003-04-01,"NSW",4.174
2003-07-01,"NSW",3.968
2003-10-01,"NSW",4.508
2004-01-01,"NSW",4.093
2004-04-01,"NSW",4.187
2004-07-01,"NSW",4.083
2004-10-01,"NSW",4.776
2005-01-01,"NSW",3.953
2005-04-01,"NSW",4.185
2005-07-01,"NSW",4.079
2005-10-01,"NSW",4.351
2006-01-01,"NSW",3.766
2006-04-01,"NSW",3.88
