"fecha","Type","Count"
1994-01-01,"Other",5460
1994-02-01,"Other",7422
1994-03-01,"Other",10268
1994-04-01,"Other",8022
1994-05-01,"Other",10173
1994-06-01,"Other",15830
1994-07-01,"Other",7363
1994-08-01,"Other",8404
1994-09-01,"Other",8128
1994-10-01,"Other",9166
1994-11-01,"Other",11039
1994-12-01,"Other",8780
1995-01-01,"Other",6475
1995-02-01,"Other",8097
1995-03-01,"Other",11025
1995-04-01,"Other",7540
1995-05-01,"Other",12073
1995-06-01,"Other",14033
1995-07-01,"Other",6759
1995-08-01,"Other",8811
1995-09-01,"Other",7952
1995-10-01,"Other",8074
1995-11-01,"Other",9200
1995-12-01,"Other",8440
1996-01-01,"Other",6393
1996-02-01,"Other",8903
1996-03-01,"Other",9763
1996-04-01,"Other",8134
1996-05-01,"Other",10521
1996-06-01,"Other",12592
1996-07-01,"Other",8311
1996-08-01,"Other",8702
1996-09-01,"Other",8370
1996-10-01,"Other",8596
1996-11-01,"Other",9012
1996-12-01,"Other",8425
1997-01-01,"Other",6436
1997-02-01,"Other",8646
1997-03-01,"Other",9298
1997-04-01,"Other",8847
1997-05-01,"Other",9939
1997-06-01,"Other",13640
1997-07-01,"Other",8726
1997-08-01,"Other",8098
1997-09-01,"Other",9170
1997-10-01,"Other",9314
1997-11-01,"Other",9049
1997-12-01,"Other",9858
1998-01-01,"Other",6829
1998-02-01,"Other",9562
1998-03-01,"Other",10990
1998-04-01,"Other",10136
1998-05-01,"Other",11269
1998-06-01,"Other",16120
1998-07-01,"Other",9929
1998-08-01,"Other",9492
1998-09-01,"Other",10139
1998-10-01,"Other",9803
1998-11-01,"Other",11613
1998-12-01,"Other",10876
1999-01-01,"Other",7463
1999-02-01,"Other",9879
1999-03-01,"Other",12383
1999-04-01,"Other",9331
1999-05-01,"Other",11283
1999-06-01,"Other",16128
1999-07-01,"Other",10562
1999-08-01,"Other",10654
1999-09-01,"Other",10164
1999-10-01,"Other",11139
1999-11-01,"Other",13021
1999-12-01,"Other",13181
