"fecha","Event","Champion","Country","Time"
1897-01-01,"Men's open division","John J. McDermott","United States",10510
1898-01-01,"Men's open division","Ronald J. MacDonald","Canada",9720
1899-01-01,"Men's open division","Lawrence Brignolia","United States",10478
1900-01-01,"Men's open division","John P. Caffery","Canada",9584
1901-01-01,"Men's open division","John P. Caffery","Canada",8963
1902-01-01,"Men's open division","Sammy A. Mellor","United States",9792
1903-01-01,"Men's open division","John C. Lorden","United States",9689
1904-01-01,"Men's open division","Michael Spring","United States",9484
1905-01-01,"Men's open division","Frederick Lorz","United States",9505
1906-01-01,"Men's open division","Timothy Ford","United States",9945
1907-01-01,"Men's open division","Thomas Longboat","Canada",8664
1908-01-01,"Men's open division","Thomas P. Morrissey","United States",8743
1909-01-01,"Men's open division","Henri Renaud","United States",10416
1910-01-01,"Men's open division","Fred L. Cameron","Canada",8932
1911-01-01,"Men's open division","Clarence H. DeMar","United States",8499
1912-01-01,"Men's open division","Michael J. Ryan","United States",8478
1913-01-01,"Men's open division","Fritz Carlson","United States",8714
1914-01-01,"Men's open division","James Duffy","Canada",8701
1915-01-01,"Men's open division","Edouard Fabre","Canada",9101
1916-01-01,"Men's open division","Arthur V. Roth","United States",8836
1917-01-01,"Men's open division","William J. (Bill) Kennedy","United States",8917
1918-01-01,"Men's open division","Camp Devens Divisional Team","United States",8693
1919-01-01,"Men's open division","Carl W. A. Linder","United States",8953
1920-01-01,"Men's open division","Peter Trivoulidas","Greece",8971
1921-01-01,"Men's open division","Frank T. Zuna","United States",8337
1922-01-01,"Men's open division","Clarence H. DeMar","United States",8290
1923-01-01,"Men's open division","Clarence H. DeMar","United States",8627
1924-01-01,"Men's open division","Clarence H. DeMar","United States",8980
1925-01-01,"Men's open division","Charles L. (Chuck) Mellor","United States",9180
1926-01-01,"Men's open division","John C. Miles","Canada",8740
1927-01-01,"Men's open division","Clarence H. DeMar","United States",9622
1928-01-01,"Men's open division","Clarence H. DeMar","United States",9427
1929-01-01,"Men's open division","John C. Miles","Canada",9188
1930-01-01,"Men's open division","Clarence H. DeMar","United States",9288
1931-01-01,"Men's open division","James P. Henigan","United States",10005
1932-01-01,"Men's open division","Paul de Bruyn","Germany",9216
1933-01-01,"Men's open division","Leslie S. Pawson","United States",9061
1934-01-01,"Men's open division","Dave Komonen","Canada",9173
1935-01-01,"Men's open division","John A. Kelley","United States",9127
1936-01-01,"Men's open division","Ellison M. Brown","United States",9220
1937-01-01,"Men's open division","Walter Young","Canada",9200
1938-01-01,"Men's open division","Leslie S. Pawson","United States",9334
1939-01-01,"Men's open division","Ellison M. Brown","United States",8931
1940-01-01,"Men's open division","Gerard Cote","Canada",8908
1941-01-01,"Men's open division","Leslie S. Pawson","United States",9038
1942-01-01,"Men's open division","Bernard Joseph (Joe) Smith","United States",8811
1943-01-01,"Men's open division","Gerard Cote","Canada",8905
1944-01-01,"Men's open division","Gerard Cote","Canada",9110
1945-01-01,"Men's open division","John A. Kelley","United States",9040
1946-01-01,"Men's open division","Stylianos Kyriakides","Greece",8967
1947-01-01,"Men's open division","Yun Bok Suh","Korea",8739
1948-01-01,"Men's open division","Gerard Cote","Canada",9062
1949-01-01,"Men's open division","Karl Gosta Leandersson","Sweden",9110
1950-01-01,"Men's open division","Ki-Yong Ham","Korea",9159
1951-01-01,"Men's open division","Shigeki Tanaka","Japan",8865
1952-01-01,"Men's open division","Doroteo Flores","Guatemala",9113
1953-01-01,"Men's open division","Keizo Yamada","Japan",8331
1954-01-01,"Men's open division","Veikko Karvonen","Finland",8439
1955-01-01,"Men's open division","Hideo Hamamura","Japan",8302
1956-01-01,"Men's open division","Antti Viskari","Finland",8054
1957-01-01,"Men's open division","John J. Kelley","United States",8405
1958-01-01,"Men's open division","Franjo Mihalic","Yugoslavia",8754
1959-01-01,"Men's open division","Eino Oksanen","Finland",8562
1960-01-01,"Men's open division","Paavo Kotila","Finland",8454
1961-01-01,"Men's open division","Eino Oksanen","Finland",8619
1962-01-01,"Men's open division","Eino Oksanen","Finland",8628
1963-01-01,"Men's open division","Aurele Vandendriessche","Belgium",8338
1964-01-01,"Men's open division","Aurele Vandendriessche","Belgium",8399
1965-01-01,"Men's open division","Morio Shigematsu","Japan",8193
1966-01-01,"Men's open division","Kenji Kimihara","Japan",8231
1967-01-01,"Men's open division","David C. McKenzie","New Zealand",8145
1968-01-01,"Men's open division","Amby Burfoot","United States",8537
1969-01-01,"Men's open division","Yoshiaki Unetani","Japan",8029
1970-01-01,"Men's open division","Ron Hill","England",7830
1971-01-01,"Men's open division","Alvaro Mejia","Colombia",8325
1972-01-01,"Men's open division","Olavi Suomalainen","Finland",8139
1973-01-01,"Men's open division","Jon Anderson","United States",8163
1974-01-01,"Men's open division","Neil Cusack","Ireland",8019
1975-01-01,"Men's open division","Bill Rodgers","United States",7795
1976-01-01,"Men's open division","Jack Fultz","United States",8419
1977-01-01,"Men's open division","Jerome Drayton","Canada",8086
1978-01-01,"Men's open division","Bill Rodgers","United States",7813
1979-01-01,"Men's open division","Bill Rodgers","United States",7767
1980-01-01,"Men's open division","Bill Rodgers","United States",7931
1981-01-01,"Men's open division","Toshihiko Seko","Japan",7766
1982-01-01,"Men's open division","Alberto Salazar","United States",7732
1983-01-01,"Men's open division","Greg A. Meyer","United States",7740
1984-01-01,"Men's open division","Geoff Smith","England",7834
1985-01-01,"Men's open division","Geoff Smith","England",8045
1986-01-01,"Men's open division","Robert de Castella","Australia",7671
1987-01-01,"Men's open division","Toshihiko Seko","Japan",7910
1988-01-01,"Men's open division","Ibrahim Hussein","Kenya",7723
1989-01-01,"Men's open division","Abebe Mekonnen","Ethiopia",7746
1990-01-01,"Men's open division","Gelindo Bordin","Italy",7699
1991-01-01,"Men's open division","Ibrahim Hussein","Kenya",7866
1992-01-01,"Men's open division","Ibrahim Hussein","Kenya",7694
1993-01-01,"Men's open division","Cosmas Ndeti","Kenya",7773
1994-01-01,"Men's open division","Cosmas Ndeti","Kenya",7635
1995-01-01,"Men's open division","Cosmas Ndeti","Kenya",7762
1996-01-01,"Men's open division","Moses Tanui","Kenya",7755
1997-01-01,"Men's open division","Lameck Aguta","Kenya",7834
1998-01-01,"Men's open division","Moses Tanui","Kenya",7654
1999-01-01,"Men's open division","Joseph Chebet","Kenya",7792
2000-01-01,"Men's open division","Elijah Lagat","Kenya",7787
2001-01-01,"Men's open division","Lee Bong-Ju","South Korea",7783
2002-01-01,"Men's open division","Rodgers Rop","Kenya",7742
2003-01-01,"Men's open division","Robert Kipkoech Cheruiyot","Kenya",7811
2004-01-01,"Men's open division","Timothy Cherigat","Kenya",7837
2005-01-01,"Men's open division","Hailu Negussie","Ethiopia",7905
2006-01-01,"Men's open division","Robert Kipkoech Cheruiyot","Kenya",7634
2007-01-01,"Men's open division","Robert Kipkoech Cheruiyot","Kenya",8053
2008-01-01,"Men's open division","Robert Kipkoech Cheruiyot","Kenya",7666
2009-01-01,"Men's open division","Deriba Merga","Ethiopia",7722
2010-01-01,"Men's open division","Robert Kiprono Cheruiyot","Kenya",7552
2011-01-01,"Men's open division","Geoffrey Mutai","Kenya",7382
2012-01-01,"Men's open division","Wesley Korir","Kenya",7960
