"fecha","Volume"
1960-01-01,1.4306
1960-02-01,1.3059
1960-03-01,1.4022
1960-04-01,1.1699
1960-05-01,1.1161
1960-06-01,1.0113
1960-07-01,0.966
1960-08-01,0.9773
1960-09-01,1.0311
1960-10-01,1.2521
1960-11-01,1.4419
1960-12-01,1.5637
1961-01-01,1.745
1961-02-01,1.5835
1961-03-01,1.677
1961-04-01,1.5155
1961-05-01,1.4051
1961-06-01,1.2464
1961-07-01,1.2238
1961-08-01,1.2917
1961-09-01,1.3541
1961-10-01,1.5552
1961-11-01,1.7648
1961-12-01,2.2549
1962-01-01,2.4164
1962-02-01,2.3484
1962-03-01,2.3852
1962-04-01,2.0651
1962-05-01,2.0594
1962-06-01,1.9263
1962-07-01,1.9631
1962-08-01,2.0396
1962-09-01,2.1104
1962-10-01,2.3427
1962-11-01,2.422
1962-12-01,2.8554
1963-01-01,3.0566
1963-02-01,2.6798
1963-03-01,2.8101
1963-04-01,2.5863
1963-05-01,2.4674
1963-06-01,2.2407
1963-07-01,2.2662
1963-08-01,2.2889
1963-09-01,2.4305
1963-10-01,2.6345
1963-11-01,2.9716
1963-12-01,3.2577
1964-01-01,3.4872
1964-02-01,3.2322
1964-03-01,3.2464
1964-04-01,3.1104
1964-05-01,2.8838
1964-06-01,2.592
1964-07-01,2.6996
1964-08-01,2.796
1964-09-01,2.796
1964-10-01,3.0736
1964-11-01,3.3399
1964-12-01,4.0565
1965-01-01,3.9007
1965-02-01,3.4787
1965-03-01,3.7563
1965-04-01,3.3172
1965-05-01,3.2549
1965-06-01,3.0311
1965-07-01,2.8186
1965-08-01,3.0792
1965-09-01,3.1217
1965-10-01,3.3937
1965-11-01,3.6911
1965-12-01,4.099
1966-01-01,4.3342
1966-02-01,3.6911
1966-03-01,3.9347
1966-04-01,3.5976
1966-05-01,3.4985
1966-06-01,3.201
1966-07-01,3.1812
1966-08-01,3.2095
1966-09-01,3.1019
1966-10-01,3.7704
1966-11-01,4.15
1966-12-01,4.3483
1967-01-01,4.5211
1967-02-01,3.9546
1967-03-01,4.3087
1967-04-01,3.9829
1967-05-01,3.9121
1967-06-01,3.4418
1967-07-01,3.4588
1967-08-01,3.6855
1967-09-01,3.6061
1967-10-01,4.0509
1967-11-01,4.2888
1967-12-01,4.8894
1968-01-01,4.9942
1968-02-01,4.6401
1968-03-01,4.7761
1968-04-01,4.3795
1968-05-01,4.116
1968-06-01,3.9546
1968-07-01,3.8073
1968-08-01,4.1217
1968-09-01,4.0622
1968-10-01,4.7053
1968-11-01,5.0848
1968-12-01,5.6457
1969-01-01,5.7194
1969-02-01,5.218
1969-03-01,5.6344
1969-04-01,5.252
1969-05-01,4.7251
1969-06-01,4.2265
1969-07-01,4.4531
1969-08-01,4.7619
1969-09-01,4.9404
1969-10-01,5.4135
1969-11-01,5.8582
1969-12-01,6.1981
1970-01-01,6.4474
1970-02-01,5.8412
1970-03-01,6.4701
1970-04-01,6.065
1970-05-01,5.7449
1970-06-01,4.9942
1970-07-01,5.1443
1970-08-01,5.388
1970-09-01,5.7222
1970-10-01,6.1216
1970-11-01,6.623
1970-12-01,7.2718
1971-01-01,7.1953
1971-02-01,6.3624
1971-03-01,7.0735
1971-04-01,6.4163
1971-05-01,6.167
1971-06-01,5.5069
1971-07-01,5.8837
1971-08-01,5.9149
1971-09-01,6.0962
1971-10-01,6.5239
1971-11-01,6.7958
1971-12-01,7.6995
1972-01-01,7.8751
1972-02-01,7.6768
1972-03-01,7.8581
1972-04-01,7.3596
1972-05-01,7.1273
1972-06-01,6.8497
1972-07-01,6.963
1972-08-01,7.0735
1972-09-01,7.3567
1972-10-01,8.1669
1972-11-01,8.3142
1972-12-01,8.9686
1973-01-01,9.0224
1973-02-01,8.1811
1973-03-01,8.759
1973-04-01,8.2009
1973-05-01,7.725
1973-06-01,7.3397
1973-07-01,7.5012
1973-08-01,7.7788
1973-09-01,7.7562
1973-10-01,8.5947
1973-11-01,8.8666
1973-12-01,9.1641
1974-01-01,9.0422
1974-02-01,8.0621
1974-03-01,8.8666
1974-04-01,8.2462
1974-05-01,7.8751
1974-06-01,7.3284
1974-07-01,7.4672
1974-08-01,7.7618
1974-09-01,7.2151
1974-10-01,8.1159
1974-11-01,8.2717
1974-12-01,8.8383
1975-01-01,8.8185
1975-02-01,7.9176
1975-03-01,8.8751
1975-04-01,8.1839
1975-05-01,7.776
1975-06-01,7.4927
1975-07-01,7.8808
1975-08-01,7.5437
1975-09-01,7.3681
1975-10-01,8.2009
1975-11-01,8.4785
1975-12-01,9.0394
1976-01-01,9.0394
1976-02-01,8.4332
1976-03-01,8.9289
1976-04-01,8.2406
1976-05-01,7.9828
1976-06-01,7.5324
1976-07-01,7.4417
1976-08-01,7.2774
1976-09-01,7.065
1976-10-01,8.3284
1976-11-01,8.5947
1976-12-01,9.2094
1977-01-01,9.4275
1977-02-01,8.436
1977-03-01,9.3907
1977-04-01,8.5975
1977-05-01,8.4672
1977-06-01,7.6287
1977-07-01,7.4927
1977-08-01,7.7193
1977-09-01,7.8751
1977-10-01,8.4757
1977-11-01,9.0111
1977-12-01,9.9147
1978-01-01,9.8836
1978-02-01,8.5493
1978-03-01,8.9176
1978-04-01,8.2066
1978-05-01,7.6315
1978-06-01,6.9885
1978-07-01,7.3794
1978-08-01,7.5154
1978-09-01,7.2094
1978-10-01,8.1301
1978-11-01,9.1414
1978-12-01,10.079
1979-01-01,10.3861
1979-02-01,9.2797
1979-03-01,9.3695
1979-04-01,9.0704
1979-05-01,8.4779
1979-06-01,7.8664
1979-07-01,7.9503
1979-08-01,7.7068
1979-09-01,7.2012
1979-10-01,8.8276
1979-11-01,9.2797
1979-12-01,10.1472
1980-01-01,10.4667
1980-02-01,8.8772
1980-03-01,9.28
1980-04-01,7.7422
1980-05-01,7.634
1980-06-01,6.8241
1980-07-01,6.96
1980-08-01,7.0926
1980-09-01,6.8148
1980-10-01,8.0561
1980-11-01,8.9385
1980-12-01,10.0549
1981-01-01,9.7207
1981-02-01,8.834
1981-03-01,8.8871
1981-04-01,8.0279
1981-05-01,7.309
1981-06-01,7.0312
1981-07-01,7.1871
1981-08-01,6.944
1981-09-01,7.0846
1981-10-01,8.2945
1981-11-01,8.6364
1981-12-01,9.8766
1982-01-01,10.5737
1982-02-01,9.1005
1982-03-01,9.1274
1982-04-01,8.1889
1982-05-01,7.3363
1982-06-01,6.9345
1982-07-01,6.8699
1982-08-01,6.8529
1982-09-01,6.8667
1982-10-01,7.9197
1982-11-01,9.0446
1982-12-01,9.9246
1983-01-01,9.8926
1983-02-01,8.5378
1983-03-01,8.4436
1983-04-01,7.6013
1983-05-01,6.9464
1983-06-01,6.4744
1983-07-01,6.5638
1983-08-01,6.5996
1983-09-01,7.0979
1983-10-01,7.8357
1983-11-01,8.7917
1983-12-01,10.7124
1984-01-01,10.5179
1984-02-01,8.62
1984-03-01,8.9368
1984-04-01,7.9969
1984-05-01,7.692
1984-06-01,6.953
1984-07-01,7.2329
1984-08-01,7.2987
1984-09-01,7.3991
1984-10-01,8.5917
1984-11-01,9.7111
1984-12-01,10.7278
1985-01-01,10.8878
1985-02-01,10.109
1985-03-01,10.0308
1985-04-01,8.7854
1985-05-01,8.1684
1985-06-01,7.4509
1985-07-01,7.3972
1985-08-01,7.46
1985-09-01,7.9639
1985-10-01,8.9585
1985-11-01,10.1481
1985-12-01,11.3796
1986-01-01,11.0386
1986-02-01,9.7654
1986-03-01,9.3167
1986-04-01,8.1464
1986-05-01,7.8331
1986-06-01,7.3008
1986-07-01,7.4569
1986-08-01,7.4211
1986-09-01,7.7622
1986-10-01,9.048
1986-11-01,9.9553
1986-12-01,10.7079
1987-01-01,10.8455
1987-02-01,9.3094
1987-03-01,10.102
1987-04-01,8.9196
1987-05-01,8.315
1987-06-01,7.4219
1987-07-01,7.9237
1987-08-01,8.6236
1987-09-01,8.5844
1987-10-01,10.3569
1987-11-01,11.0081
1987-12-01,12.1456
1988-01-01,12.6596
1988-02-01,11.4703
1988-03-01,11.32
1988-04-01,10.2638
1988-05-01,9.7286
1988-06-01,8.9138
1988-07-01,9.8172
1988-08-01,9.9253
1988-09-01,9.8777
1988-10-01,10.867
1988-11-01,11.5952
1988-12-01,12.4078
1989-01-01,12.3457
1989-02-01,11.5028
1989-03-01,12.1695
1989-04-01,11.2916
1989-05-01,10.5054
1989-06-01,9.854
1989-07-01,10.4084
1989-08-01,10.3725
1989-09-01,10.4122
1989-10-01,11.3239
1989-11-01,11.6377
1989-12-01,12.908
1990-01-01,12.508
1990-02-01,11.1611
1990-03-01,11.5871
1990-04-01,11.1003
1990-05-01,10.9631
1990-06-01,10.1271
1990-07-01,10.5513
1990-08-01,10.4668
1990-09-01,10.271
1990-10-01,11.992
1990-11-01,12.135
1990-12-01,13.4248
1991-01-01,13.25
1991-02-01,11.341
1991-03-01,12.4856
1991-04-01,11.9009
1991-05-01,11.3834
1991-06-01,10.8104
1991-07-01,10.6474
1991-08-01,10.5999
1991-09-01,10.7973
1991-10-01,12.4401
1991-11-01,12.9722
1991-12-01,13.8099
1992-01-01,13.2705
1992-02-01,12.7163
1992-03-01,13.1994
1992-04-01,12.7235
1992-05-01,12.5501
1992-06-01,11.5166
1992-07-01,12.1364
1992-08-01,12.6521
1992-09-01,12.3929
1992-10-01,13.382
1992-11-01,14.0785
1992-12-01,14.7586
1993-01-01,14.3785
1993-02-01,13.3347
1993-03-01,14.7308
1993-04-01,14.2616
1993-05-01,13.2363
1993-06-01,13.0995
1993-07-01,14.0387
1993-08-01,13.9153
1993-09-01,13.4265
1993-10-01,14.4461
1993-11-01,14.5121
1993-12-01,15.2108
1994-01-01,15.8034
1994-02-01,14.1257
1994-03-01,15.3173
1994-04-01,14.7663
1994-05-01,14.7614
1994-06-01,14.3623
1994-07-01,14.8726
1994-08-01,15.1548
1994-09-01,14.3091
1994-10-01,15.4411
1994-11-01,15.7134
1994-12-01,16.4601
1995-01-01,16.7395
1995-02-01,14.7929
1995-03-01,16.5547
1995-04-01,15.922
1995-05-01,15.6568
1995-06-01,15.0057
1995-07-01,15.3499
1995-08-01,15.5324
1995-09-01,15.0938
1995-10-01,16.2678
1995-11-01,16.1945
1995-12-01,16.9076
1996-01-01,17.1467
1996-02-01,15.6931
1996-03-01,16.7081
1996-04-01,16.0887
1996-05-01,16.4114
1996-06-01,15.367
1996-07-01,16.1433
1996-08-01,16.0633
1996-09-01,15.519
1996-10-01,16.2804
1996-11-01,16.2668
