"fecha","Type","Count"
1995-01-01,"Abduction and kidnapping",15
1995-02-01,"Abduction and kidnapping",16
1995-03-01,"Abduction and kidnapping",23
1995-04-01,"Abduction and kidnapping",22
1995-05-01,"Abduction and kidnapping",14
1995-06-01,"Abduction and kidnapping",13
1995-07-01,"Abduction and kidnapping",19
1995-08-01,"Abduction and kidnapping",23
1995-09-01,"Abduction and kidnapping",13
1995-10-01,"Abduction and kidnapping",21
1995-11-01,"Abduction and kidnapping",37
1995-12-01,"Abduction and kidnapping",12
1996-01-01,"Abduction and kidnapping",18
1996-02-01,"Abduction and kidnapping",16
1996-03-01,"Abduction and kidnapping",13
1996-04-01,"Abduction and kidnapping",21
1996-05-01,"Abduction and kidnapping",23
1996-06-01,"Abduction and kidnapping",30
1996-07-01,"Abduction and kidnapping",24
1996-08-01,"Abduction and kidnapping",22
1996-09-01,"Abduction and kidnapping",35
1996-10-01,"Abduction and kidnapping",31
1996-11-01,"Abduction and kidnapping",19
1996-12-01,"Abduction and kidnapping",19
1997-01-01,"Abduction and kidnapping",29
1997-02-01,"Abduction and kidnapping",17
1997-03-01,"Abduction and kidnapping",44
1997-04-01,"Abduction and kidnapping",23
1997-05-01,"Abduction and kidnapping",28
1997-06-01,"Abduction and kidnapping",22
1997-07-01,"Abduction and kidnapping",17
1997-08-01,"Abduction and kidnapping",22
1997-09-01,"Abduction and kidnapping",29
1997-10-01,"Abduction and kidnapping",31
1997-11-01,"Abduction and kidnapping",35
1997-12-01,"Abduction and kidnapping",24
1998-01-01,"Abduction and kidnapping",36
1998-02-01,"Abduction and kidnapping",34
1998-03-01,"Abduction and kidnapping",28
1998-04-01,"Abduction and kidnapping",27
1998-05-01,"Abduction and kidnapping",22
1998-06-01,"Abduction and kidnapping",29
1998-07-01,"Abduction and kidnapping",27
1998-08-01,"Abduction and kidnapping",33
1998-09-01,"Abduction and kidnapping",51
1998-10-01,"Abduction and kidnapping",56
1998-11-01,"Abduction and kidnapping",46
1998-12-01,"Abduction and kidnapping",41
1999-01-01,"Abduction and kidnapping",34
1999-02-01,"Abduction and kidnapping",36
1999-03-01,"Abduction and kidnapping",34
1999-04-01,"Abduction and kidnapping",25
1999-05-01,"Abduction and kidnapping",27
1999-06-01,"Abduction and kidnapping",29
1999-07-01,"Abduction and kidnapping",26
1999-08-01,"Abduction and kidnapping",29
1999-09-01,"Abduction and kidnapping",24
1999-10-01,"Abduction and kidnapping",44
1999-11-01,"Abduction and kidnapping",30
1999-12-01,"Abduction and kidnapping",39
2000-01-01,"Abduction and kidnapping",35
2000-02-01,"Abduction and kidnapping",24
2000-03-01,"Abduction and kidnapping",35
2000-04-01,"Abduction and kidnapping",26
2000-05-01,"Abduction and kidnapping",25
2000-06-01,"Abduction and kidnapping",26
2000-07-01,"Abduction and kidnapping",23
2000-08-01,"Abduction and kidnapping",48
2000-09-01,"Abduction and kidnapping",37
2000-10-01,"Abduction and kidnapping",21
2000-11-01,"Abduction and kidnapping",29
2000-12-01,"Abduction and kidnapping",20
2001-01-01,"Abduction and kidnapping",43
2001-02-01,"Abduction and kidnapping",36
2001-03-01,"Abduction and kidnapping",33
2001-04-01,"Abduction and kidnapping",28
2001-05-01,"Abduction and kidnapping",37
2001-06-01,"Abduction and kidnapping",31
2001-07-01,"Abduction and kidnapping",37
