"fecha","Pageviews"
2018-01-01,2130
2018-01-02,4070
2018-01-03,6272
2018-01-04,5963
2018-01-05,6340
2018-01-06,4132
2018-01-07,3697
2018-01-08,5918
2018-01-09,7382
2018-01-10,7811
2018-01-11,6655
2018-01-12,6150
2018-01-13,4274
2018-01-14,3505
2018-01-15,5138
2018-01-16,6777
2018-01-17,6995
2018-01-18,6966
2018-01-19,6208
2018-01-20,4247
2018-01-21,4090
2018-01-22,6700
2018-01-23,11584
2018-01-24,11000
2018-01-25,10462
2018-01-26,9644
2018-01-27,7075
2018-01-28,6341
2018-01-29,9223
2018-01-30,12241
2018-01-31,12083
2018-02-01,12550
2018-02-02,11737
2018-02-03,7603
2018-02-04,7074
2018-02-05,10233
2018-02-06,13297
2018-02-07,11817
2018-02-08,12454
2018-02-09,10392
2018-02-10,7812
2018-02-11,6885
2018-02-12,10259
2018-02-13,12534
2018-02-14,11002
2018-02-15,9320
2018-02-16,9334
2018-02-17,7003
2018-02-18,5939
2018-02-19,8687
2018-02-20,12207
2018-02-21,11617
2018-02-22,11891
2018-02-23,10632
2018-02-24,7280
2018-02-25,6225
2018-02-26,9975
2018-02-27,13507
2018-02-28,13148
2018-03-01,11370
2018-03-02,10357
2018-03-03,8297
2018-03-04,6999
2018-03-05,10150
2018-03-06,13981
2018-03-07,12151
2018-03-08,12995
2018-03-09,11350
2018-03-10,7690
2018-03-11,6736
2018-03-12,9168
2018-03-13,13066
2018-03-14,13010
2018-03-15,12645
2018-03-16,12307
2018-03-17,8141
2018-03-18,6276
2018-03-19,10876
2018-03-20,14441
2018-03-21,13677
2018-03-22,13014
2018-03-23,11538
2018-03-24,8253
2018-03-25,6471
2018-03-26,11773
2018-03-27,14157
2018-03-28,13057
2018-03-29,12395
2018-03-30,9418
2018-03-31,6587
2018-04-01,6746
2018-04-02,9081
2018-04-03,13315
2018-04-04,13381
2018-04-05,13365
2018-04-06,13248
2018-04-07,8307
2018-04-08,7815
2018-04-09,11779
2018-04-10,13615
2018-04-11,13729
2018-04-12,14383
2018-04-13,12468
2018-04-14,8209
2018-04-15,8180
2018-04-16,12925
2018-04-17,16427
2018-04-18,15277
2018-04-19,15418
2018-04-20,14055
2018-04-21,7967
2018-04-22,8340
2018-04-23,13346
2018-04-24,15393
2018-04-25,14227
2018-04-26,14423
2018-04-27,11458
2018-04-28,7449
2018-04-29,7012
2018-04-30,9517
2018-05-01,11290
2018-05-02,13271
2018-05-03,13794
2018-05-04,10953
2018-05-05,7796
2018-05-06,6902
2018-05-07,10435
2018-05-08,14346
2018-05-09,12574
2018-05-10,10859
2018-05-11,10495
2018-05-12,6421
2018-05-13,6094
2018-05-14,9978
2018-05-15,11450
2018-05-16,13250
2018-05-17,12797
2018-05-18,11331
2018-05-19,8373
2018-05-20,7378
2018-05-21,10197
2018-05-22,12235
2018-05-23,12694
2018-05-24,12716
2018-05-25,12575
2018-05-26,7651
2018-05-27,7576
2018-05-28,11086
2018-05-29,11021
2018-05-30,11976
2018-05-31,11558
2018-06-01,10850
2018-06-02,8319
2018-06-03,7918
2018-06-04,11044
2018-06-05,15446
2018-06-06,11294
2018-06-07,10113
2018-06-08,9903
2018-06-09,6455
2018-06-10,5934
2018-06-11,8771
2018-06-12,11372
2018-06-13,9986
2018-06-14,9144
2018-06-15,8529
2018-06-16,5242
2018-06-17,4655
2018-06-18,7633
2018-06-19,11198
2018-06-20,12226
2018-06-21,10757
2018-06-22,11133
2018-06-23,6712
2018-06-24,5163
2018-06-25,8618
2018-06-26,10952
2018-06-27,10199
2018-06-28,10494
2018-06-29,9386
2018-06-30,5801
2018-07-01,4518
2018-07-02,6920
2018-07-03,10494
2018-07-04,10268
2018-07-05,8013
2018-07-06,9776
2018-07-07,5132
2018-07-08,4471
2018-07-09,8294
2018-07-10,9848
2018-07-11,10875
2018-07-12,9760
2018-07-13,7990
2018-07-14,5614
2018-07-15,4940
2018-07-16,8121
2018-07-17,9353
2018-07-18,10368
2018-07-19,9718
2018-07-20,9964
2018-07-21,5266
2018-07-22,4485
2018-07-23,8014
2018-07-24,9722
2018-07-25,10779
2018-07-26,9802
2018-07-27,10110
2018-07-28,5352
2018-07-29,4113
2018-07-30,7990
2018-07-31,10255
2018-08-01,9921
2018-08-02,9574
2018-08-03,8731
2018-08-04,6228
2018-08-05,4926
2018-08-06,8503
2018-08-07,12083
2018-08-08,15555
2018-08-09,14817
2018-08-10,13258
2018-08-11,8387
2018-08-12,7234
2018-08-13,12179
2018-08-14,12104
2018-08-15,11922
2018-08-16,12888
2018-08-17,12567
2018-08-18,8488
2018-08-19,6170
2018-08-20,10720
2018-08-21,14063
2018-08-22,13529
2018-08-23,14033
2018-08-24,12579
2018-08-25,8049
2018-08-26,7056
2018-08-27,11385
2018-08-28,14092
2018-08-29,13158
2018-08-30,13292
2018-08-31,12621
2018-09-01,8227
2018-09-02,5574
2018-09-03,10438
2018-09-04,13957
2018-09-05,14530
2018-09-06,14476
2018-09-07,13919
2018-09-08,7839
2018-09-09,6627
2018-09-10,11711
2018-09-11,15984
2018-09-12,25954
2018-09-13,15461
2018-09-14,13882
2018-09-15,8457
2018-09-16,7892
2018-09-17,13584
2018-09-18,17315
2018-09-19,16148
2018-09-20,17582
2018-09-21,15955
2018-09-22,9808
2018-09-23,8496
2018-09-24,12934
2018-09-25,17556
2018-09-26,16428
2018-09-27,17198
2018-09-28,14610
2018-09-29,9701
2018-09-30,7628
2018-10-01,13385
2018-10-02,17292
2018-10-03,15622
2018-10-04,15524
2018-10-05,14702
2018-10-06,10273
2018-10-07,7243
2018-10-08,14007
2018-10-09,17101
2018-10-10,17378
2018-10-11,15869
2018-10-12,14137
2018-10-13,10700
2018-10-14,8561
2018-10-15,13339
2018-10-16,17980
2018-10-17,17490
2018-10-18,16133
2018-10-19,14823
2018-10-20,9930
2018-10-21,9073
2018-10-22,13316
2018-10-23,19367
2018-10-24,18391
2018-10-25,18930
2018-10-26,16523
2018-10-27,11826
2018-10-28,9957
2018-10-29,15937
2018-10-30,20806
2018-10-31,17862
2018-11-01,16070
2018-11-02,16039
2018-11-03,10388
2018-11-04,8643
2018-11-05,13961
2018-11-06,18571
2018-11-07,17149
2018-11-08,16553
2018-11-09,16123
2018-11-10,12528
2018-11-11,9640
2018-11-12,16550
2018-11-13,20161
2018-11-14,18096
2018-11-15,18180
2018-11-16,16382
2018-11-17,11021
2018-11-18,9479
2018-11-19,13672
2018-11-20,18317
2018-11-21,17431
2018-11-22,16367
2018-11-23,12859
2018-11-24,9877
2018-11-25,10346
2018-11-26,16144
2018-11-27,20806
2018-11-28,21365
2018-11-29,18217
2018-11-30,18734
2018-12-01,12066
2018-12-02,10213
2018-12-03,15424
2018-12-04,20527
2018-12-05,19637
2018-12-06,18396
2018-12-07,18011
2018-12-08,12722
2018-12-09,10853
2018-12-10,16157
2018-12-11,20699
2018-12-12,17478
2018-12-13,18034
2018-12-14,14736
2018-12-15,10897
2018-12-16,7833
2018-12-17,13623
2018-12-18,16415
2018-12-19,16812
2018-12-20,15292
2018-12-21,13308
2018-12-22,8230
2018-12-23,5747
2018-12-24,7056
2018-12-25,5933
2018-12-26,7581
2018-12-27,10447
2018-12-28,10627
2018-12-29,7810
2018-12-30,6067
2018-12-31,6908
2019-01-01,5871
2019-01-02,9547
2019-01-03,14858
2019-01-04,14804
2019-01-05,11473
2019-01-06,8506
2019-01-07,13465
2019-01-08,18288
2019-01-09,20438
2019-01-10,18595
2019-01-11,17515
2019-01-12,10716
2019-01-13,8375
2019-01-14,14197
2019-01-15,16712
2019-01-16,16567
2019-01-17,17014
2019-01-18,13845
2019-01-19,8158
2019-01-20,6408
2019-01-21,11136
2019-01-22,14123
2019-01-23,15464
2019-01-24,14983
2019-01-25,16725
2019-01-26,9955
2019-01-27,8013
2019-01-28,12228
2019-01-29,16153
2019-01-30,15812
2019-01-31,14105
2019-02-01,13710
2019-02-02,9439
2019-02-03,7915
2019-02-04,11154
2019-02-05,15750
2019-02-06,15847
2019-02-07,15712
2019-02-08,14762
2019-02-09,10031
2019-02-10,7211
2019-02-11,12181
2019-02-12,16460
2019-02-13,15862
2019-02-14,16167
2019-02-15,13632
2019-02-16,9949
2019-02-17,7490
2019-02-18,11777
2019-02-19,16966
2019-02-20,16217
2019-02-21,14909
2019-02-22,14217
2019-02-23,10774
2019-02-24,7898
2019-02-25,13227
2019-02-26,17479
2019-02-27,17779
2019-02-28,15429
2019-03-01,14603
2019-03-02,11004
2019-03-03,9098
2019-03-04,13096
2019-03-05,17665
2019-03-06,18767
2019-03-07,18614
2019-03-08,17835
2019-03-09,11803
2019-03-10,9442
2019-03-11,14443
2019-03-12,19166
2019-03-13,17412
2019-03-14,16935
2019-03-15,17262
2019-03-16,11984
2019-03-17,9495
2019-03-18,14395
2019-03-19,18204
2019-03-20,19262
2019-03-21,16125
2019-03-22,15156
2019-03-23,11795
2019-03-24,8784
2019-03-25,15556
2019-03-26,19781
2019-03-27,19953
2019-03-28,18347
2019-03-29,17153
2019-03-30,12765
2019-03-31,10250
2019-04-01,17072
2019-04-02,20995
2019-04-03,19450
2019-04-04,17887
2019-04-05,19428
2019-04-06,11404
2019-04-07,10407
2019-04-08,15568
2019-04-09,20644
2019-04-10,21468
2019-04-11,20519
2019-04-12,18990
2019-04-13,12416
2019-04-14,10296
2019-04-15,16490
2019-04-16,19145
2019-04-17,19179
2019-04-18,16343
2019-04-19,13990
2019-04-20,9240
2019-04-21,8136
2019-04-22,12236
2019-04-23,20215
2019-04-24,21786
2019-04-25,18714
2019-04-26,18813
2019-04-27,12720
2019-04-28,12576
2019-04-29,15079
2019-04-30,20035
2019-05-01,16227
2019-05-02,17583
2019-05-03,18358
2019-05-04,12248
2019-05-05,12195
2019-05-06,16920
2019-05-07,20561
2019-05-08,19776
2019-05-09,18354
2019-05-10,19108
2019-05-11,10016
2019-05-12,8227
2019-05-13,14022
2019-05-14,16606
2019-05-15,15962
2019-05-16,14969
2019-05-17,14860
2019-05-18,9439
2019-05-19,9457
2019-05-20,13796
2019-05-21,17925
2019-05-22,18477
2019-05-23,17120
2019-05-24,15920
2019-05-25,9905
2019-05-26,10077
2019-05-27,14505
2019-05-28,15567
2019-05-29,16871
2019-05-30,16032
2019-05-31,15905
2019-06-01,9846
2019-06-02,8365
2019-06-03,16006
2019-06-04,18049
2019-06-05,17240
2019-06-06,17703
2019-06-07,16372
2019-06-08,12363
2019-06-09,12376
2019-06-10,14554
2019-06-11,16335
2019-06-12,16167
2019-06-13,14658
2019-06-14,14350
2019-06-15,9754
2019-06-16,6295
2019-06-17,12869
2019-06-18,15774
2019-06-19,15665
2019-06-20,14616
2019-06-21,13345
2019-06-22,10023
2019-06-23,8530
2019-06-24,14194
2019-06-25,17061
2019-06-26,15822
2019-06-27,15874
2019-06-28,13308
2019-06-29,8044
2019-06-30,5928
2019-07-01,12716
2019-07-02,16912
2019-07-03,15759
2019-07-04,16299
2019-07-05,11090
2019-07-06,8260
2019-07-07,6495
2019-07-08,12666
2019-07-09,16540
2019-07-10,16305
2019-07-11,15681
2019-07-12,15080
2019-07-13,9091
2019-07-14,6303
2019-07-15,13080
2019-07-16,16518
2019-07-17,17999
2019-07-18,17331
2019-07-19,17363
2019-07-20,9650
2019-07-21,8592
2019-07-22,16095
2019-07-23,18117
2019-07-24,18389
2019-07-25,17361
2019-07-26,15902
2019-07-27,9338
2019-07-28,7379
2019-07-29,13357
2019-07-30,18073
2019-07-31,18004
2019-08-01,16157
2019-08-02,15241
2019-08-03,10455
2019-08-04,7912
2019-08-05,13620
2019-08-06,17834
2019-08-07,18680
2019-08-08,16840
2019-08-09,16893
2019-08-10,10738
2019-08-11,8069
2019-08-12,12624
2019-08-13,17703
2019-08-14,17640
2019-08-15,16193
2019-08-16,15682
2019-08-17,11135
2019-08-18,7890
2019-08-19,14174
2019-08-20,18603
2019-08-21,18993
2019-08-22,17879
2019-08-23,15738
2019-08-24,9441
2019-08-25,9039
2019-08-26,16109
2019-08-27,19284
2019-08-28,19314
2019-08-29,18878
2019-08-30,17292
2019-08-31,11660
2019-09-01,8553
2019-09-02,14211
2019-09-03,19230
2019-09-04,21265
2019-09-05,20544
2019-09-06,20990
2019-09-07,12002
2019-09-08,9405
2019-09-09,17296
2019-09-10,20415
2019-09-11,21944
2019-09-12,18952
2019-09-13,18048
2019-09-14,11696
2019-09-15,10215
2019-09-16,18223
2019-09-17,23831
2019-09-18,23541
2019-09-19,22315
2019-09-20,20564
2019-09-21,12795
2019-09-22,12261
2019-09-23,19264
2019-09-24,23612
2019-09-25,22253
2019-09-26,22779
2019-09-27,18841
2019-09-28,12000
2019-09-29,11430
2019-09-30,19076
2019-10-01,22784
2019-10-02,21930
2019-10-03,21022
2019-10-04,20961
2019-10-05,13959
2019-10-06,12522
2019-10-07,21376
2019-10-08,26752
2019-10-09,25700
2019-10-10,23543
2019-10-11,22305
2019-10-12,14337
2019-10-13,11666
2019-10-14,18767
2019-10-15,23489
2019-10-16,25620
2019-10-17,23675
2019-10-18,23557
2019-10-19,14180
2019-10-20,12346
2019-10-21,19644
2019-10-22,27047
2019-10-23,25946
2019-10-24,22358
2019-10-25,23587
2019-10-26,14039
2019-10-27,12240
2019-10-28,17539
2019-10-29,25323
2019-10-30,25711
2019-10-31,23734
2019-11-01,19692
2019-11-02,14053
