"fecha","Barrels"
1991-02-04,6.621
1991-02-11,6.433
1991-02-18,6.582
1991-02-25,7.224
1991-03-04,6.875
1991-03-11,6.947
1991-03-18,7.328
1991-03-25,6.777
1991-04-01,7.503
1991-04-08,6.916
1991-04-15,7.045
1991-04-22,6.956
1991-04-29,6.976
1991-05-06,7.185
1991-05-13,6.899
1991-05-20,7.396
1991-05-27,7.287
1991-06-03,7.22
1991-06-10,7.651
1991-06-17,7.72
1991-06-24,7.543
1991-07-01,7.961
1991-07-08,7.327
1991-07-15,7.38
1991-07-22,7.501
1991-07-29,7.605
1991-08-05,7.584
1991-08-12,7.401
1991-08-19,7.505
1991-08-26,7.427
1991-09-02,6.993
1991-09-09,7.402
1991-09-16,7.391
1991-09-23,7.088
1991-09-30,6.949
1991-10-07,7.506
1991-10-14,7.396
1991-10-21,7.421
1991-10-28,7.159
1991-11-04,7.379
1991-11-11,7.369
1991-11-18,6.652
1991-11-25,6.769
1991-12-02,6.828
1991-12-09,7.344
1991-12-16,7.447
1991-12-23,7.186
1991-12-30,6.642
1992-01-06,6.788
1992-01-13,6.783
1992-01-20,7.037
1992-01-27,7.112
1992-02-03,7.039
1992-02-10,6.576
1992-02-17,7.002
1992-02-24,6.77
1992-03-02,7.002
1992-03-09,6.806
1992-03-16,7.221
1992-03-23,7.379
1992-03-30,7.027
1992-04-06,7.744
1992-04-13,6.464
1992-04-20,7.376
1992-04-27,7.899
1992-05-04,7.318
1992-05-11,7.174
1992-05-18,7.086
1992-05-25,7.774
1992-06-01,7.104
1992-06-08,7.129
1992-06-15,7.407
1992-06-22,7.701
1992-06-29,7.572
1992-07-06,7.813
1992-07-13,7.422
1992-07-20,7.792
1992-07-27,7.433
1992-08-03,7.796
1992-08-10,7.7
1992-08-17,7.365
1992-08-24,7.814
1992-08-31,7.326
1992-09-07,7.473
1992-09-14,7.181
1992-09-21,7.286
1992-09-28,7.293
1992-10-05,7.514
1992-10-12,7.204
1992-10-19,7.276
1992-10-26,7.509
1992-11-02,6.923
1992-11-09,7.056
1992-11-16,7.24
1992-11-23,7.138
1992-11-30,7.432
1992-12-07,7.354
1992-12-14,7.4
1992-12-21,7.596
1992-12-28,7.358
1993-01-04,6.852
1993-01-11,6.726
1993-01-18,7.131
1993-01-25,6.603
1993-02-01,7.322
1993-02-08,6.779
1993-02-15,7.325
1993-02-22,6.961
1993-03-01,7.188
1993-03-08,7.1
1993-03-15,7.239
1993-03-22,7.194
1993-03-29,6.964
1993-04-05,6.797
1993-04-12,7.561
1993-04-19,7.392
1993-04-26,7.47
1993-05-03,7.657
1993-05-10,7.649
1993-05-17,7.295
1993-05-24,7.364
1993-05-31,7.018
1993-06-07,7.74
1993-06-14,7.392
1993-06-21,7.804
1993-06-28,7.868
1993-07-05,7.578
1993-07-12,8.113
1993-07-19,7.916
1993-07-26,7.336
1993-08-02,8.033
1993-08-09,7.581
1993-08-16,8.187
1993-08-23,7.629
1993-08-30,7.386
1993-09-06,7.889
1993-09-13,7.478
1993-09-20,7.485
1993-09-27,7.387
1993-10-04,7.276
1993-10-11,7.613
1993-10-18,7.704
1993-10-25,7.788
1993-11-01,7.64
1993-11-08,7.552
1993-11-15,7.992
1993-11-22,6.845
1993-11-29,7.43
1993-12-06,8.074
1993-12-13,7.684
1993-12-20,7.411
1993-12-27,7.567
1994-01-03,7.124
1994-01-10,7.124
1994-01-17,7.157
1994-01-24,6.321
1994-01-31,6.953
1994-02-07,7.487
1994-02-14,6.993
1994-02-21,7.372
1994-02-28,7.286
1994-03-07,7.214
1994-03-14,7.521
1994-03-21,7.481
1994-03-28,7.398
1994-04-04,7.187
1994-04-11,7.72
1994-04-18,7.042
1994-04-25,7.892
1994-05-02,6.824
1994-05-09,7.552
1994-05-16,7.938
1994-05-23,8.028
1994-05-30,7.461
1994-06-06,7.77
1994-06-13,7.65
1994-06-20,7.909
1994-06-27,7.93
1994-07-04,7.562
1994-07-11,8.006
1994-07-18,7.523
1994-07-25,7.581
1994-08-01,7.638
1994-08-08,8.187
1994-08-15,7.836
1994-08-22,7.75
1994-08-29,8.061
1994-09-05,6.955
1994-09-12,7.601
1994-09-19,7.763
1994-09-26,7.733
1994-10-03,7.515
1994-10-10,7.562
1994-10-17,8.143
1994-10-24,8.204
1994-10-31,7.432
1994-11-07,7.377
1994-11-14,7.929
